title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
For Sale,690000000,862500.0,,Lagos,,,,5.0,,0,800 sqm,,"Prev Next Featured For Sale New Listing Hot Offer Price available upon request For Sale New Listing Hot Offer 5-Bedroom Smart Home for Sale in Lagos Price available upon request Ikate Lekki, Lagos Beds: 5 Baths: 5.5 800SQM Fully Detached Duplex Details Eden Oasis 4 months ago Eden Oasis 4 months ago Featured For Sale New Listing Hot Offer ₦ 690,000,000 For Sale New Listing Hot Offer Exquisite 5-Bedroom Fully Detached Home with Pool in Chevron ₦ 690,000,000 Chevron, Lagos Beds: 5 Baths: 5.5 Fully Detached Duplex Details Eden Oasis 5 months ago Eden Oasis 5 months ago Featured For Sale New Listing Hot Offer ₦5,600,000,000 For Sale New Listing Hot Offer Ultra-Luxury 5-Bedroom Mansion in Ikoyi – $3.5M (₦5B+) ₦5,600,000,000 Ikoyi, Lagos. Beds: 5 Baths: 5.5 519 Sqm Fully Detached Duplex, Residential Details Eden Oasis 6 months ago Eden Oasis 6 months ago Featured For Sale New Listing Hot Offer From ₦250,000,000 For Sale New Listing Hot Offer Your Ajah Oasis Awaits: Newly Built 4-Bed Detached",4 months,,,,,,,,https://www.edenoasisrealty.com/status/for-sale/,www.edenoasisrealty.com,2025-08-21 14:48:27,"6.4550575,3.3941795",44d4414ec2afba5e512a0aa9b1ae44dd5a59ddcbc9ac9f0f651ccec7abb62b7f
For Sale,,,,Lagos,,,,5.0,,0,800 sqm,,"Featured For Sale New Listing Hot Offer Price available upon request For Sale New Listing Hot Offer 5-Bedroom Smart Home for Sale in Lagos Price available upon request Ikate Lekki, Lagos Beds: 5 Baths: 5.5 800SQM Fully Detached Duplex Details Eden Oasis 4 months ago Eden Oasis 4 months ago",4 months,,,,,,,,https://www.edenoasisrealty.com/status/for-sale/,www.edenoasisrealty.com,2025-08-21 14:48:27,"6.4550575,3.3941795",fe277e05e88797c56d917def64cc033fe4e529a6fa8a653ba87c4d9962d28ce3
For Sale,5600000000,10789980.0,,Lagos,,,,5.0,,0,519 sqm,,"Featured For Sale New Listing Hot Offer ₦5,600,000,000 For Sale New Listing Hot Offer Ultra-Luxury 5-Bedroom Mansion in Ikoyi – $3.5M (₦5B+) ₦5,600,000,000 Ikoyi, Lagos. Beds: 5 Baths: 5.5 519 Sqm Fully Detached Duplex, Residential Details Eden Oasis 6 months ago Eden Oasis 6 months ago",6 months,,,,,,,,https://www.edenoasisrealty.com/status/for-sale/,www.edenoasisrealty.com,2025-08-21 14:48:27,"6.4550575,3.3941795",af1ba0daa08a59dde0565d301bf8123c0cd73b2e9f36433e8061e7101d5eff26
For Sale,250000000,,,Lagos,,,,4.0,,0,,,"Featured For Sale New Listing Hot Offer From ₦250,000,000 For Sale New Listing Hot Offer Your Ajah Oasis Awaits: Newly Built 4-Bed Detached Duplex From ₦250,000,000 Ajah, Lagos. Beds: 4 Baths: 4.5 Fully Detached Duplex, Residential Details Eden Oasis 7 months ago Eden Oasis 7 months ago",7 months,,,,,,,,https://www.edenoasisrealty.com/status/for-sale/,www.edenoasisrealty.com,2025-08-21 14:48:27,"6.4550575,3.3941795",85f0020625f1a7ab5b8ecab1e5a9a4a944336a8783376435021a5713ec8288a9
Off Plan Project,23000000,,7666666.0,Lagos,,,3.0,,,0,,,"Featured Off Plan Project Hot Offer Start From ₦23,000,000 Off Plan Project Hot Offer Cynergy Gardens | 1, 2 & 3 Bedroom Apartment Start From ₦23,000,000 Igando Oloja Ibeju-Lekki, Lagos Beds: 1, 2 & 3 Apartment Details Eden Oasis 3 years ago Eden Oasis 3 years ago",3 years,,,,,,,,https://www.edenoasisrealty.com/status/off-plan-project/,www.edenoasisrealty.com,2025-08-21 14:48:27,"6.4550575,3.3941795",7ef76d7de340d6a70226456dd31ba1a58fa49d474f52ca4825a33953d2d467e9
Off Plan Project,60000000,,,Lagos,,,,3.0,,0,,,"Featured Off Plan Project Sold Out From ₦60,000,000 Off Plan Project Sold Out Mufasa Apartments Ikate Lekki Elegushi Lagos From ₦60,000,000 Ikate Elegushi Lagos Beds: 1, 2 & 3 Baths: 1, 2 & 3 Apartment Details Eden Oasis 3 years ago Eden Oasis 3 years ago",3 years,,,,,,,,https://www.edenoasisrealty.com/status/off-plan-project/,www.edenoasisrealty.com,2025-08-21 14:48:27,"6.4550575,3.3941795",1d7ce7a6dd053fa8ef7215f8f8447111ba70106347d81236044f06c3f839bb2c
For Sale,1000000000,,,Lagos,,,,5.0,,0,,,"Featured For Sale New Listing Ready To Move In Hot Offer ₦1,000,000,000 For Sale New Listing Ready To Move In Hot Offer Discover This Jaw-Dropping Smart Mansion in Lekki ₦1,000,000,000 Lekki, Lagos Beds: 5 Baths: 5.5 Fully Detached Duplex Details Eden Oasis 2 weeks ago Eden Oasis 2 weeks ago",,,,,,,,,https://www.edenoasisrealty.com/status/for-sale/,www.edenoasisrealty.com,2025-08-21 14:48:27,"6.4550575,3.3941795",7af2c3e3b2f729268eb915104ec0ce52e42d7862335a5ae4490912fb94c1decb
For Sale,2,,,Lagos,,,,5.0,,0,,,"Featured For Sale New Listing Hot Offer ₦2.300,000,000 For Sale New Listing Hot Offer Fully Furnished 5-Bedroom Detached House in Osapa Lekki ₦2.300,000,000 Osapa Lekki, Lagos Beds: 5 Baths: 5.5 Fully Detached Duplex Details Eden Oasis 1 month ago Eden Oasis 1 month ago",1 month,,,,,,,,https://www.edenoasisrealty.com/status/for-sale/,www.edenoasisrealty.com,2025-08-21 14:48:27,"6.4550575,3.3941795",53c1096642a92f2005d5aff1f4689157ea78dce49f05f0ceccc29ffff7d7d11a
For Sale,1300000000750000,,,Lagos,,,,5.0,,0,,,"Featured For Sale New Listing Hot Offer ₦1,300,000,000 ($750,000) For Sale New Listing Hot Offer 5-Bedroom Detached House in Osapa Lekki – Style, Space & Location Combined ₦1,300,000,000 ($750,000) Osapa Lekki, Lagos Beds: 5 Baths: 5.5 Fully Detached Duplex Details Eden Oasis 3 months ago Eden Oasis 3 months ago",3 months,,,,,,,,https://www.edenoasisrealty.com/status/for-sale/,www.edenoasisrealty.com,2025-08-21 14:48:27,"6.4550575,3.3941795",4c9cf319a4be0f2f8e38449ad28b6c803cb1631866727343d5afb6b8a15d2c00
For Sale,690000000,,,Lekki,,,,5.0,,0,,,"Featured For Sale New Listing Hot Offer ₦690,000,000 For Sale New Listing Hot Offer 5-Bedroom Detached Home in Chevron, Lekki – A Lifestyle Built for You ₦690,000,000 Chevron, Lekki Beds: 5 Baths: 5.5 Fully Detached Duplex Details Eden Oasis 4 months ago Eden Oasis 4 months ago",4 months,,,,,,,,https://www.edenoasisrealty.com/status/for-sale/,www.edenoasisrealty.com,2025-08-21 14:48:27,"6.4711251,3.8147504",46dd638de308417dbca82df2a1dd5df1d1f0a0594eccb19ee9ef29b75a7a4b60
