title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Lagos property for sale,,,,Lagos,,,,,,0,,,Lagos property for sale,,,,,,,,,https://www.hutbay.com/property-for-sale/lagos,www.hutbay.com,2025-08-21 12:10:59,"6.4550575,3.3941795",5ea315b3ada96e893aca7b97b216b5e58c72bcd5cc7205df89d7c33020222fcd
Lagos houses for rent,,,,Lagos,,,,,,0,,,Lagos houses for rent,,,,,,,,,https://www.hutbay.com/property-for-rent/lagos,www.hutbay.com,2025-08-21 12:10:59,"6.4550575,3.3941795",cfa5a89e53c68c446ca54b0bcf0f256f556b8ce16074d188e3263212d542fb41
House for sale Ikoyi,,,,Ikoyi,,,,,,0,,,House for sale Ikoyi,,,,,,,,,https://www.hutbay.com/property-for-sale/lagos/ikoyi/,www.hutbay.com,2025-08-21 12:10:59,"6.456061,3.442218",58d36512b431dc4dd09cda0e91c842741ff05e97b7269f38912bd52cf3f26177
Flat for sale Ikoyi,,,,Ikoyi,,,,,,0,,,Flat for sale Ikoyi,,,,,,,,,https://www.hutbay.com/property-for-sale/lagos/ikoyi/flat,www.hutbay.com,2025-08-21 12:10:59,"6.456061,3.442218",3fceecc16ddef32b3d1bbad980e82e05d4f6a64808136ae524ba24fd0d3313a2
Duplex for sale Ikoyi,,,,Ikoyi,,,,,,0,,,Duplex for sale Ikoyi,,,,,,,,,https://www.hutbay.com/property-for-sale/lagos/ikoyi/duplex,www.hutbay.com,2025-08-21 12:10:59,"6.456061,3.442218",6b37356573f1e979756241660b31de3f760c5bfd5530ccb37fa7135a32e376c3
Land for sale Ikoyi,,,,Ikoyi,,,,,,0,,,Land for sale Ikoyi,,,,,,,,,https://www.hutbay.com/property-for-sale/lagos/ikoyi/land,www.hutbay.com,2025-08-21 12:10:59,"6.456061,3.442218",df46b0a6e0300c1f83b07cbfd6b38a465e19ee00a1e32846b304f6b34f6d7df7
House for sale Lekki,,,,Lekki,,,,,,0,,,House for sale Lekki,,,,,,,,,https://www.hutbay.com/property-for-sale/lagos/lekki/,www.hutbay.com,2025-08-21 12:10:59,"6.4711251,3.8147504",0cc6345ef7533e12ae74038389d257a667769eaf9b1189de9fe7a12ced087191
Flat for sale Lekki,,,,Lekki,,,,,,0,,,Flat for sale Lekki,,,,,,,,,https://www.hutbay.com/property-for-sale/lagos/lekki/flat,www.hutbay.com,2025-08-21 12:10:59,"6.4711251,3.8147504",ba68477b85c02ca557d982a060ce72658955b9c8e52bab468e95f54581e9d9c6
Duplex for sale Lekki,,,,Lekki,,,,,,0,,,Duplex for sale Lekki,,,,,,,,,https://www.hutbay.com/property-for-sale/lagos/lekki/duplex,www.hutbay.com,2025-08-21 12:10:59,"6.4711251,3.8147504",0baf0ab8d38a5913f04b3afdd4129e39a310a8228e8f1652a30e55cc2bd6d470
Land for sale Lekki,,,,Lekki,,,,,,0,,,Land for sale Lekki,,,,,,,,,https://www.hutbay.com/property-for-sale/lagos/lekki/land,www.hutbay.com,2025-08-21 12:10:59,"6.4711251,3.8147504",6385567c1b3b7e5ac45709b98738bd34734c9e01b793b62f450f2436d0cbcc1a
