title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
New Listing,27000000000000,117391304347.0,6750000000000.0,Lagos,,,4.0,4.0,,0,230 sqm,,"Prev Next Featured New Listing ₦27,000,000 New Listing COMMERCIAL SPACE ₦27,000,000 Chevron, Lekki-Epe Expressway, Ikota, Eti Osa, Lagos State, Nigeria 230SQM sqft Commercial Property Details Desh Nautilus Ltd 2 days ago Desh Nautilus Ltd 2 days ago Featured Buy Hot Sale ₦130,000,000 Buy Hot Sale LUXURY 4 BEDROOM TERRACE DUPLEX ₦130,000,000 Ajah, Eti Osa, Lagos State, 101245, Nigeria Beds: 4 Baths: 4 Terraced Duplex Details Desh Nautilus Ltd 7 days ago Desh Nautilus Ltd 7 days ago Featured Buy Hot Sale ₦130,000,000 Buy Hot Sale LUXURY 3 BEDROOM TERRACE ₦130,000,000 Ajah, Eti Osa, Lagos State, 101245, Nigeria Beds: 3 Baths: 4 House Details Desh Nautilus Ltd 7 days ago Desh Nautilus Ltd 7 days ago Featured Buy ₦400,000,000 Buy LUXURY 5 BEDROOM FULLY DETACHED DUPLEX ₦400,000,000 Osapa Road, Ojomu, Eti Osa, Lagos State, 101244, Nigeria Beds: 5 Baths: 5 Detached Duplex Details Desh Nautilus Ltd 21 hours ago Desh Nautilus Ltd 21 hours ago Featured New Listing ₦3,000,000 New Listing 1 BEDROOM",,,,,,,,,https://lagosproperty.net/status/new-listing,lagosproperty.net,2025-08-21 14:23:56,"6.4550575,3.3941795",b15aff229a9feecb3e82451be7d18e7a12eba42a728ba46cf4d58bdbf3ffdbb9
Buy,1,,3.25e+16,Lagos,,,4.0,4.0,,0,,,"Featured Buy Hot Sale ₦130,000,000 Buy Hot Sale LUXURY 4 BEDROOM TERRACE DUPLEX ₦130,000,000 Ajah, Eti Osa, Lagos State, 101245, Nigeria Beds: 4 Baths: 4 Terraced Duplex Details Desh Nautilus Ltd 7 days ago Desh Nautilus Ltd 7 days ago",,,,,,,,,https://lagosproperty.net/status/for-sale,lagosproperty.net,2025-08-21 14:23:56,"6.4550575,3.3941795",d2678fcb8f5dd67b94a7623a42fe643974cd0ec139982054702b611d0868c69e
Buy,4000000005,,800000001.0,Lagos,,,5.0,5.0,,0,,,"Featured Buy ₦400,000,000 Buy LUXURY 5 BEDROOM FULLY DETACHED DUPLEX ₦400,000,000 Osapa Road, Ojomu, Eti Osa, Lagos State, 101244, Nigeria Beds: 5 Baths: 5 Detached Duplex Details Desh Nautilus Ltd 21 hours ago Desh Nautilus Ltd 21 hours ago",,,,,,,,,https://lagosproperty.net/status/for-sale,lagosproperty.net,2025-08-21 14:23:56,"6.4550575,3.3941795",de32e9db0e9d00f59b1b9fdaf5487631f9bc177808d47eb68911ff1eb71aca40
New Listing,30000001,,30000001.0,Lagos,,,1.0,1.0,,0,,,"Featured New Listing ₦3,000,000 New Listing 1 BEDROOM APARTMENT ₦3,000,000 Osapa Road, Ojomu, Eti Osa, Lagos State, 101244, Nigeria Bed: 1 Bath: 1 Flat / Apartment Details Desh Nautilus Ltd 21 hours ago Desh Nautilus Ltd 21 hours ago",,,,,,,,,https://lagosproperty.net/status/new-listing,lagosproperty.net,2025-08-21 14:23:56,"6.4550575,3.3941795",7f53a2d8c5a22f2d5f8f88fefda4c43cbb4204ed3048df64a4a9994543bdbe0d
Buy,1900000004,,475000001.0,Lagos,,,4.0,4.0,,0,,,"Featured Buy ₦190,000,000 Buy LUXURY 4 BEDROOM SEMI DETACHED DUPLEX ₦190,000,000 Chevron, Lekki-Epe Expressway, Ikota, Eti Osa, Lagos State, Nigeria Beds: 4 Baths: 5 Semi Detached Duplex Details Desh Nautilus Ltd 2 days ago Desh Nautilus Ltd 2 days ago",,,,,,,,,https://lagosproperty.net/status/for-sale,lagosproperty.net,2025-08-21 14:23:56,"6.4550575,3.3941795",d2817d6ecec2f243aa0d154fb19a182ca683c6caa0339d59d57fa10d66cc8656
Buy,3300000005000000,,660000001000000.0,Lagos,,,5.0,5.0,,0,,,"Featured Buy ₦330,000,000 Buy 5 BEDROOM DUPLEX ₦330,000,000 Chevron, Lekki-Epe Expressway, Ikota, Eti Osa, Lagos State, Nigeria Beds: 5 Baths: 5 Detached Duplex Details Desh Nautilus Ltd 2 days ago Desh Nautilus Ltd 2 days ago",,,,,,,,,https://lagosproperty.net/status/for-sale,lagosproperty.net,2025-08-21 14:23:56,"6.4550575,3.3941795",0ec6472c4a0d4dc547f10be4858d05847765bd1abc04b1c064982d165a741d55
Buy,3000000005000000,,600000001000000.0,Lagos,,,5.0,5.0,,0,,,"Featured Buy ₦300,000,000 Buy 5 BEDROOM FULLY DETACHED ₦300,000,000 Chevron, Lekki-Epe Expressway, Ikota, Eti Osa, Lagos State, Nigeria Beds: 5 Baths: 5 Detached Duplex Details Desh Nautilus Ltd 2 days ago Desh Nautilus Ltd 2 days ago",,,,,,,,,https://lagosproperty.net/status/for-sale,lagosproperty.net,2025-08-21 14:23:56,"6.4550575,3.3941795",496e63a6bdca7d9933640161387509c1c03d252e90a20dda7a3ad492371f82b0
New Listing,70000004,,17500001.0,Lagos,,,4.0,4.0,,0,,,"Featured New Listing ₦7,000,000 New Listing 4 BEDROOM TERRACE DUPLEX ₦7,000,000 Chevron, Lekki-Epe Expressway, Ikota, Eti Osa, Lagos State, Nigeria Beds: 4 Baths: 4 Terraced Duplex Details Desh Nautilus Ltd 2 days ago Desh Nautilus Ltd 2 days ago",,,,,,,,,https://lagosproperty.net/status/new-listing,lagosproperty.net,2025-08-21 14:23:56,"6.4550575,3.3941795",78764a0ca2dd7ff974eba831d4290f4a32b071d7990a8a56182ee3b4116cd543
Lekki,,,,Lekki,,,,,,0,,,Lekki,,,,,,,,,https://lagosproperty.net/city/lekki,lagosproperty.net,2025-08-21 14:23:56,"6.4711251,3.8147504",cc792d9343c9ad9f78af626af11ef85163c152f1109eb1a59a002098dc91f7de
Ajah,,,,Ajah,,,,,,0,,,Ajah,,,,,,,,,https://lagosproperty.net/city/ajah,lagosproperty.net,2025-08-21 14:23:56,"6.4694716,3.5623861",ed75ce87e1fd68527cbee9d57b8b324c26a3f6db88297749d730eed9ea732ea4
