title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
"Fantastic 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki",340000000000000,,68000000000000.0,Lagos,,,5.0,,5.0,1,,,"Your One Stop Shop for All Real Estate Solutions Get everything you need to Rent - Buy - Sell or Manage your Properties in one Platform. Partner with Us every step of the way. Start Your Journey NOW! Featured Properties Fantastic 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki Lekki , Lagos Price ₦340,000,000 Images Category For Sale 10 Features Bathrooms 5 Bedrooms 5 Toilets 6 Featured Listed on Tuesday, August 19, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale Fantastic 5 Bedroom Fully Detached Duplex with Bq at Agungi,Lagos Lekki , Lagos Price ₦270,000,000 Images Category For Sale 9 Features Bathrooms 5 Bedrooms 5 Toilets 6 Featured Listed on Tuesday, August 12, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale Brand New 4 Bedroom Fully Detached Duplex Located at Orchid, Lekki Lekki , Lagos Price ₦280,000,000 Images Category For Sale 9 Features Bathrooms 4 Bedrooms 4 Toilets 5 Fe",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/fantastic-5-bedroom-fully-detached-duplex-bq-ajahlekki-1,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",7de960c429e8f87c551673f0d9bfe6e6f80c8c91bbc833607c4241c28cc5c7fc
"Fantastic 5 Bedroom Fully Detached Duplex with Bq at Agungi,Lagos",270000000000000,,54000000000000.0,Lagos,,,5.0,,5.0,1,,,"Fantastic 5 Bedroom Fully Detached Duplex with Bq at Agungi,Lagos Lekki , Lagos Price ₦270,000,000 Images Category For Sale 9 Features Bathrooms 5 Bedrooms 5 Toilets 6 Featured Listed on Tuesday, August 12, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/fantastic-5-bedroom-fully-detached-duplex-bq-agungilagos,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",f382147ee2d105c40f7926913a9c46b5302199699c61550827088d5c91c9cb6d
"Brand New 4 Bedroom Fully Detached Duplex Located at Orchid, Lekki",280000000000000,,70000000000000.0,Lagos,,,4.0,,4.0,0,,,"Brand New 4 Bedroom Fully Detached Duplex Located at Orchid, Lekki Lekki , Lagos Price ₦280,000,000 Images Category For Sale 9 Features Bathrooms 4 Bedrooms 4 Toilets 5 Featured Listed on Monday, August 11, 2025 under Detached Duplex , Houses Property Description 4 Bedroom Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/brand-new-4-bedroom-fully-detached-duplex-located-orchid-lekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",d4ca268e84da1f27d175d51cb5e79231b885f3f600a8d14dba52f7d2e00b88d1
"Lovely 4 Bedroom Semi Detached Duplex Located at Orchid, Lekki",195000000000000,,48750000000000.0,Lagos,,,4.0,,4.0,0,,,"Lovely 4 Bedroom Semi Detached Duplex Located at Orchid, Lekki Lekki , Lagos Price ₦195,000,000 Images Category For Sale 9 Features Bathrooms 4 Bedrooms 4 Toilets 5 Featured Listed on Monday, August 11, 2025 under Houses , Semi Detached Duplex Property Description 4 Bedroom Semi Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/lovely-4-bedroom-semi-detached-duplex-located-orchid-lekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",5f16114f05c723f965b2c7b337b36ccfc75fa34087bcf071ae1e46aefacf0105
"Self Serviced 4 Bedroom Semi Detached Duplex with Bq at Chevron, Lekki",15000000000000,,3750000000000.0,Lagos,,,4.0,,4.0,1,,,"Self Serviced 4 Bedroom Semi Detached Duplex with Bq at Chevron, Lekki Lekki , Lagos Price ₦15,000,000 Images Category For Rent 8 Features Bathrooms 4 Bedrooms 4 Toilets 5 Featured Listed on Monday, August 11, 2025 under Houses , Semi Detached Duplex Property Description 4 Bedridden Semi Detached Duplex For Rent",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/rent/self-serviced-4-bedroom-semi-detached-duplex-bq-chevron-lekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",a28577b461707c8f0a07d3c849490d89df1a7fb779f9c9a3aaeaaff4cb21b049
"Contemporary 5 Bedroom Fully Detached Duplex with Bq at Chevron Toll Gate,Lekki",460000000000000,,92000000000000.0,Lagos,,,5.0,,5.0,1,,,"Contemporary 5 Bedroom Fully Detached Duplex with Bq at Chevron Toll Gate,Lekki Lekki , Lagos Price ₦460,000,000 Images Category For Sale 10 Features Bathrooms 5 Bedrooms 5 Toilets 6 Featured Listed on Monday, August 11, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/contemporary-5-bedroom-fully-detached-duplex-bq-chevron-toll-0,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",b57c32cb4bd5d6a6aaf72abfd8a5731d4ec680b805eae6ca7c2998e1eb13b4eb
"Modernly Built 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki",300000000000000,,60000000000000.0,Lagos,,,5.0,,5.0,1,,,"Modernly Built 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki Lekki , Lagos Price ₦300,000,000 Images Category For Sale 9 Features Bathrooms 5 Bedrooms 5 Toilets 6 Listed on Tuesday, August 19, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/modernly-built-5-bedroom-fully-detached-duplex-bq-ajahlekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",128439a1a4525d443ec22f2dbd5463b8ee5b82c498e08a98c2e488ebc3a1d952
"Standard 4 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki",170000000000000,,42500000000000.0,Lagos,,,4.0,,4.0,1,,,"Standard 4 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki Lekki , Lagos Price ₦170,000,000 Images Category For Sale 9 Features Bathrooms 4 Bedrooms 4 Toilets 5 Listed on Tuesday, August 19, 2025 under Detached Duplex , Houses Property Description 4 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/standard-4-bedroom-fully-detached-duplex-bq-ajahlekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",4a560afe66d9902b9630df34863bebbe45a5f3d7795b6041114b7cce1cdb3ee4
"Magnificent 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki",300000000000000,,60000000000000.0,Lagos,,,5.0,,5.0,1,,,"Magnificent 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki Lekki , Lagos Price ₦300,000,000 Images Category For Sale 10 Features Bathrooms 5 Bedrooms 5 Toilets 6 Listed on Tuesday, August 19, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/magnificent-5-bedroom-fully-detached-duplex-bq-ajahlekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",d7e306d7f605c0214699722848e4482782815b18698308b46760f52d73317d29
"Lovely 4 Bedroom Fully Detached Duplex With Pool at Ajah,Lekki",210000000000000,,52500000000000.0,Lagos,,,4.0,,4.0,0,,,"Lovely 4 Bedroom Fully Detached Duplex With Pool at Ajah,Lekki Lekki , Lagos Price ₦210,000,000 Images Category For Sale 10 Features Bathrooms 4 Bedrooms 4 Toilets 5 Listed on Tuesday, August 19, 2025 under Detached Duplex , Houses Property Description 4 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/lovely-4-bedroom-fully-detached-duplex-pool-ajahlekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",873fe4dfd7bc03ab58e5fdefd864b2da4fb29213ee09764db87e7946e3d73c77
