title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
BUY,,,,Lagos,,,,,,0,,,"BUY Buy Top 5 Homes Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos Homes for Sale All Homes New Homes & Communities Foreclosed Properties Projects Condominium Apartments Home Values Recently Sold Property Directory Home Buying Tips Home Buying Tips Read Buying Discussions Top Buy Home",,,,,,,,,https://www.naijahouses.com/,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",eb2f4311329b668033eb63665b01928bc781dcf4bf66fae57e70dd2d8c5fe25c
"Oniru, Victoria Island, Lagos",,,,Lagos,,,,,,0,,,"Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos",,,,,,,,,https://www.naijahouses.com/property-details/oniru-victoria-island-lagos,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",1159311598af22d54e9ea98a5fa0f7166b2a70b61833e150166051fee7c64544
SELL,,,,Lagos,,,,,,0,,,"SELL Top Selling Home Oniru, Victoria Island, Lagos EMINENCE COURT , Lekki, Lagos Holland Park Estate. Lekki free trade zone, Lekki,... Frontier Estate, Bogije, Ibeju-Lekki, Lekki, Lagos ACE VILLE ESTATE, EPE, Epe, Lagos See What Your Home Is Worth How to Select an Agent Projects Sell Apartments Sell Condominiums Community Discussions on Selling Ask the Community Home Selling Tips Home Selling Tips How to Spark a Bidding War for Your Home More Home Selling Advice",,,,,,,,,https://www.naijahouses.com/sell/index,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",cc19eec99ade7b8c87f2ee36f78ec48340cd7095c8f9bd960a6d44b18f0a73e5
New Hot Listings,1,,4.62500001e+17,Lagos,,,4.0,4.0,,1,,,"New Hot Listings For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk 1 View All 2,955 Homes For Sale 0 Open Houses 210 Homes For Lease 30 Price Reduced 3,165 Homes For Sale/Lease",,,,,,,,,https://www.naijahouses.com/#hot_listing_1,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",784059449ac7465e1d822a504c1959b60060d00cdade1ce64af18d05f1e38b7c
"For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKK",1,,4.62500001e+17,Lagos,,,4.0,4.0,,1,,,"For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk 1 View All",,,,,,,,,https://www.naijahouses.com/property-details/chevron-tollgate-lekki-lagos-1,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",847a10df75f0db8bf1d8cce2a8b60127e8b86a93da076106f84c7f8ab21ab583
Flats for rent in Lagos,,,,Lagos,,,,,,0,,,Flats for rent in Lagos,,,,,,,,,"https://www.naijahouses.com/rental/search?state=Lagos&prop_types=50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",65f217d2949cf3a3a0e9f002201bb9d3c719aebc799df378b9a208b609d2b6c5
Houses for rent in Lagos,,,,Lagos,,,,,,0,,,Houses for rent in Lagos,,,,,,,,,"https://www.naijahouses.com/rental/search?state=Lagos&prop_types=9,20,46,47,48,50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",812368256006a0ba91848c28e3cd7bc149ca1933aa1e33296af1e074a03d81bb
Houses for sale in Lagos,,,,Lagos,,,,,,0,,,Houses for sale in Lagos,,,,,,,,,"https://www.naijahouses.com/realestate/search?state=Lagos&prop_types=9,20,46,48,50,51&const_status=&market_statuses=Active",www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",0c0541dd0d912bdbe51d7135eb02db1d911df4973ff9c7c5137db5c799e342d1
Lands for sale in Lagos,,,,Lagos,,,,,,0,,,Lands for sale in Lagos,,,,,,,,,https://www.naijahouses.com/realestate/search?state=Lagos&prop_types=59&const_status=&market_statuses=Active,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",0f3c3446eefc02776d2e202efe9f3a846d7fa7982ef1d81b1fa21830997f3414
Short Let in Lagos,,,,Lagos,,,,,,0,,,Short Let in Lagos,,,,,,,,,https://www.naijahouses.com/rental/search?state=Lagos&rent_type=short_let&prop_types=&const_status=&market_statuses=Active,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",435b17401ef87843e39c4f5b283a73c05a07f308eae16eb54fed1dd986a519e0
Estates in Lagos,,,,Lagos,,,,,,0,,,Estates in Lagos,,,,,,,,,https://www.naijahouses.com/condominium/search?location=Lagos&facilities=,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",c018db38684860f0bc7148c6a48107d4395b4a82a58dad5b13075f31f87a18a1
"For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk For Sale 5 BED SEMI-DETACHED LUXURY HOMES",1,,4.62500001e+17,Lagos,,,4.0,4.0,,1,,,"For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk 1 View All",,,,,,,,,https://www.naijahouses.com/property-details/chevron-tollgate-lekki-lagos-1,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",cbd7d8e57ee70cbfef9919840c2ff7efe31d2b7dc3b583e37f54e6c6434ca4e8
"For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE",1,,3.00000001e+17,Lagos,,,4.0,4.0,,1,,,"For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk 1 View All",,,,,,,,,https://www.naijahouses.com/property-details/vgc-extension-lekki-lagos-1,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",d80188f356d6ddce14c217749b6159906adbb5f0630dc0d1af8ee5dcf2c4840d
New Hot Listings,4,,9.00000001e+17,Lagos,,,5.0,5.0,,1,,,"New Hot Listings For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk 1 View All 2,955 Homes For Sale 0 Open Houses 210 Homes For Lease 30 Price Reduced 3,165 Homes For Sale/Lease",,,,,,,,,https://www.naijahouses.com/?page=4#hot_listing_1,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",7dd73534541fd9eba66463f1150c6434cae43d611885f925934b8d86305327a6
"For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE",4,,9.00000001e+17,Lagos,,,5.0,5.0,,1,,,"For Sale 5 BED SEMI-DETACHED LUXURY HOMES FOR SALE IN LAGOS... At Osapa, Lekki, Lagos NGN 450,000,000 bd 5 ba NA Sqm pk For Sale 4 BEDROOM FULLY DETACHED HOUSE PLUS A BQ At CHEVRON TOLLGATE, Lekki, Lagos NGN 185,000,000 bd 4 ba NA Sqm pk For Sale 4 BEDROOM DUPLEX FOR SALE IN LEKKI At VGC EXTENSION, Lekki, Lagos NGN 120,000,000 bd 4 ba NA Sqm pk 1 View All",,,,,,,,,https://www.naijahouses.com/property-details/osapa-lekki-lagos-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,www.naijahouses.com,2025-08-21 13:10:28,"6.4550575,3.3941795",6fef1f4dcd10bb38f687c1172bca62390808bdc89bc283010dfb332d341a720a
