title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Property Listings,,,,Lagos,,,,,,0,,,Property Listings Lands For Sale in Nigeria Houses For Sale in Nigeria Lands for Sale in Lagos Houses for Sale in Lagos Houses for Sale in Lekki Houses for Sale in Abuja Lands for Sale in Abuja Business & Event Centers Apartment Houses For Rent Recently Added Listings,,,,,,,,,https://naijalandlord.com/all-listings/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",0b7777a29ed2ae2a7e1e88be090978a8f5966f842778a664f5b63945e22e4235
Lands for Sale in Lagos,,,,Lagos,,,,,,0,,,Lands for Sale in Lagos,,,,,,,,,https://naijalandlord.com/lands-for-sale-in-lagos-nigeria-prices-of-lands-in-lagos/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",0f3c3446eefc02776d2e202efe9f3a846d7fa7982ef1d81b1fa21830997f3414
Houses for Sale in Lagos,,,,Lagos,,,,,,0,,,Houses for Sale in Lagos Houses for Sale in Lekki,,,,,,,,,https://naijalandlord.com/house-for-sale-in-lagos-nigeria/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",0c0541dd0d912bdbe51d7135eb02db1d911df4973ff9c7c5137db5c799e342d1
Houses for Sale in Lekki,,,,Lekki,,,,,,0,,,Houses for Sale in Lekki,,,,,,,,,https://naijalandlord.com/houses-for-sale-in-lekki/,naijalandlord.com,2025-08-21 15:04:42,"6.4711251,3.8147504",e54043ebb95e02f58ec953870e59b4400fe3d5305d52c628f81f196af120addd
For Sale,500000000000,,,Lagos,,,,,,0,,,"Featured For Sale ₦500,000 For Sale Farmland Located At Ogun State For Five Hundred Thousand Per Plot ₦500,000 Ogunmakin Village, Ogunmakin Village, Ogun Farmland located at Ogun state for 500 thousand per plot Family... ID: NL-51086 Availabilty: Available Land Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago Featured For Sale ₦9,000,000 For Sale Alpha Royal Court Location Ibeju Agbe Town, Ibejulekki A Prime, Highvalue Investmen ₦9,000,000 Lekki, Lagos, Lagos ALPHA ROYAL COURT        Location: Ibeju Agbe Town, Ibeju-Lekki... ID: NL-51232 Availabilty: Available Land Details Naijalandlord 2 weeks ago Naijalandlord 2 weeks ago Featured For Sale ₦12,500,000 For Sale Alphamark Prime Prelaunch A Golden Opportunity Are You Ready To Unleash Your Inner Real E ₦12,500,000 Lekki, Lagos, Lagos ALPHAMARK PRIME PRE-LAUNCH A GOLDEN OPPORTUNITY:         Are you ready to unleash... ID: NL-51238 Availabilty: Available Land Details Naijalandlord 2 weeks ago Naijalandlord 2 weeks ago Do You Wan",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",9977aa1826b8f123ef9af137236dd650c41b9cdd7c6b262951359d61b7618225
For Sale,9000000,,,Lagos,,,,,,0,,,"Featured For Sale ₦9,000,000 For Sale Alpha Royal Court Location Ibeju Agbe Town, Ibejulekki A Prime, Highvalue Investmen ₦9,000,000 Lekki, Lagos, Lagos ALPHA ROYAL COURT        Location: Ibeju Agbe Town, Ibeju-Lekki... ID: NL-51232 Availabilty: Available Land Details Naijalandlord 2 weeks ago Naijalandlord 2 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",55d6eaba055bcd52b8b00883d2805bb75a242e093e801e11e8d06d796577fe73
For Sale,12500000000000,,,Lagos,,,,,,0,,,"Featured For Sale ₦12,500,000 For Sale Alphamark Prime Prelaunch A Golden Opportunity Are You Ready To Unleash Your Inner Real E ₦12,500,000 Lekki, Lagos, Lagos ALPHAMARK PRIME PRE-LAUNCH A GOLDEN OPPORTUNITY:         Are you ready to unleash... ID: NL-51238 Availabilty: Available Land Details Naijalandlord 2 weeks ago Naijalandlord 2 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",798a4b0145bfab6a91fc1b8856fdd9dfe0b77041b5e5f24f2cfc48e450915d33
For Sale,190000000,,95000000.0,Lagos,,,2.0,,,0,,,"Featured For Sale ₦190,000,000 For Sale For Sale Beautiful 2 Bedroom Apartment With Communal Pool. Ikate, Lekki, Lagos State ₦190,000,000 Lekki, Lagos, Lagos FOR SALE: BEAUTIFUL 2 BEDROOM APARTMENT WITH COMMUNAL POOL.   : IKATE,... ID: NL-51103 Beds: 2 Availabilty: Available Flat Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",1481c523b7777b6f785864675594be12df2daf256b3c41a093ff0a76d2bce932
For Sale,140000000,,70000000.0,Lagos,,,2.0,,,0,,,"Featured For Sale ₦140,000,000 For Sale For Sale Charming 2 Bedroom Apartment With Communal Pool Gym Ikate, Lekki, Lagos State. ₦140,000,000 Lekki, Lagos, Lagos FOR SALE: CHARMING 2 BEDROOM APARTMENT WITH COMMUNAL POOL & GYM... ID: NL-51114 Beds: 2 Availabilty: Available Flat Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",c2c71ef9f257dab16aa5f6f91ea4bfe12c3b65fcf3588d87dadb523aaa401468
For Sale,180000000,,45000000.0,Lagos,,,4.0,,,0,,,"Featured For Sale ₦180,000,000 For Sale For Sale Finely Done 4 4 Bedroom Semidetached Duplex. Ikota, Lekki, Lagos State. , ₦180,000,000 Etiosa, Lagos, Lagos FOR SALE: FINELY DONE 4 4 BEDROOM SEMI-DETACHED DUPLEX.     :... ID: NL-51126 Beds: 4 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",e7d589ccad75b3b6f00062d14d2c207335228706074a751626dacff217f46aa0
For Sale,115000000,,28750000.0,Lagos,,,4.0,,,0,,,"Featured For Sale ₦115,000,000 For Sale For Sale Perfectly Built 4 Bedroom Terraced Duplex With Communal Poop Kids Play Area. Ik ₦115,000,000 Lekki, Lagos, Lagos FOR SALE: PERFECTLY BUILT 4 BEDROOM TERRACED DUPLEX WITH COMMUNAL POOP... ID: NL-51146 Beds: 4 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",57280af7bc42944c7bc078fbb1089e5c471049e2d454ad014f30526113e9e8f7
For Sale,210000000,,52500000.0,Lagos,,,4.0,,,0,,,"Featured For Sale ₦210,000,000 For Sale For Sale Spacious 4 Bedroom Fully Detached Duplex. Orchid, Lekki, Lagos ,, ₦210,000,000 Lekki, Lagos, Lagos FOR SALE : SPACIOUS 4 BEDROOM FULLY DETACHED DUPLEX.   : ORCHID,... ID: NL-51157 Beds: 4 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",1b7f58c07b628daf3091063f48765a843ad77f77ac4fb7c92a77d48dc7e3fdf0
For Sale,240000000000000,,60000000000000.0,Lagos,,,4.0,,,1,,,"Featured For Sale ₦240,000,000 For Sale A Charming 4 Bedroom Fully Detached Duplex With Bq. Orchid, Lekki. ,,. ₦240,000,000 Lekki, Lagos, Lagos A CHARMING 4 BEDROOM FULLY DETACHED DUPLEX WITH BQ.   : ORCHID,... ID: NL-51167 Beds: 4 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",7e9d598e5915663400d88ecf01beff2c732f926ab3e735c492f49cec9d2bb01b
For Sale,600000000,,150000000.0,Lagos,,,4.0,,,1,,,"Featured For Sale ₦600,000,000 For Sale For Sale Finely Built 4 Bedroom Penthouse Duplex With Bq Elevator. Lekki Phase 1, Lagos ₦600,000,000 Lekki, Lagos, Lagos FOR SALE : FINELY BUILT 4 BEDROOM PENTHOUSE DUPLEX WITH BQ... ID: NL-51178 Beds: 4 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",0b66e75c4486a5fd0835c0bbc78138142f14db1748a077e8a0a92186b23c5a39
For Sale,1600000000,,320000000.0,Lagos,,,5.0,,,1,,,"Featured For Sale ₦1,600,000,000 For Sale For Sale Ultramodern 5 Bedroom Townhouse With Bq. Ikoyi, Lagos. 1.6b Features F ₦1,600,000,000 Ikoyi, Lagos, Lagos FOR SALE: ULTRA-MODERN 5 BEDROOM TOWNHOUSE WITH BQ.   : IKOYI, LAGOS.... ID: NL-51189 Beds: 5 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",fe6873ba1002228854d1a48d168be2a2256b6943b338ea29c5aa076ee9d8c5f4
For Sale,300000000,,150000000.0,Lagos,,,2.0,,,0,,,"Featured For Sale ₦300,000,000 For Sale For Sale Exquisitely Built 2 Bedroom Apartments With Elevator, Communal Pool Gym. Lekki Pha ₦300,000,000 Lekki, Lagos, Lagos FOR SALE : EXQUISITELY BUILT 2 BEDROOM APARTMENTS WITH ELEVATOR, COMMUNAL... ID: NL-51200 Beds: 2 Availabilty: Available Flat Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",13168ee9956e0c324bcddac40a395305e0ae4aafdb3fd80ee83cc5bf3ea31ced
For Sale,220000000,,55000000.0,Lagos,,,4.0,,,0,,,"Featured For Sale ₦220,000,000 For Sale For Sale A Standard Twin 4 Bedroom Duplex On An 80 By 55 Land Size At Off Alidada Street Off Ago ₦220,000,000 Isolo, Lagos, Lagos FOR SALE A STANDARD TWIN 4 BEDROOM DUPLEX ON AN 80... ID: NL-51022 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",9b5ec07bebccfe3eb8bfe2d507410484a69838b91bf997f36a218009c1dbb9a1
For Sale,8,,2.000000012e+16,Lagos,,,4.0,,,0,,,"Featured For Sale ₦80,000,000 For Sale 4bed 80 Million Naira Ajah, Lekki Lovely Well Maintained 4 Bedroom Duplex In A Serene Access Co ₦80,000,000 Etiosa, Lagos, Lagos 4Bed   80 Million Naira   Ajah, Lekki LOVELY WELL MAINTAINED... ID: NL-51034 Beds: 4 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",7b0574c3fd74394a612917bf3b72a2607a0446ecf9a2bae2bb8a24fbc6a58022
For Sale,55000000,,11000000.0,Lagos,,,5.0,,,0,,,"Featured For Sale ₦55,000,000 For Sale Luxurious 5bedroom Duplex For Sale Location Ajayiladuba Street, Off Gas Road, Crown Layout, O ₦55,000,000 Alimosho, Lagos, Lagos Luxurious 5-Bedroom Duplex for Sale   Location: Ajayi/Laduba Street, off Gas Road,... ID: NL-51041 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",b09110201b7b57124af3d296b5fcbcf69d23fb3d9efc1dcda68267d02b1afe54
For Sale,650000004000000,,162500001000000.0,Lagos,,,4.0,,,0,,,"Featured For Sale ₦65,000,000 For Sale 4 Bedroom Semi Detached Duplex Title Consent And Building Approval Location Badore Ajah P ₦65,000,000 Lekki, Lagos, Lagos 4 bedroom Semi -detached Duplex Title: Consent and Building Approval Location:... ID: NL-51048 Beds: 4 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",bbaca2c35f9a2e638a324e722e19c7c29074e0130639c36bfbb442b6c74e8356
For Sale,5,,,Lagos,,,,,,0,,,"Featured For Sale ₦55,000,000 For Sale A Beautiful Bungalow With 6 Apartments For Sale Liasu Road Egbe Alimosho, Lagos Its C ₦55,000,000 Alimosho, Lagos, Lagos A Beautiful Bungalow With 6 Apartments For Sale Liasu Road Egbe Alimosho, Lagos Its C ID: NL-51055 Availabilty: Available Bungalow Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",345fa69dac175d7abd4681949bc81cf2a7c13a412d740d78ccf1b97f334b516a
For Sale,70000000370,,23333333456.0,Lagos,,,3.0,,,0,,,"Featured For Sale ₦70,000,000 For Sale 3 Bed 70 Million Ajah, Lekki Lagos For Sales Three Bedroom Terrace Duplex Price 70 Millio ₦70,000,000 Etiosa, Lagos, Lagos 3 BED    70 MILLION    AJAH, Lekki Lagos For Sales... ID: NL-51064 Beds: 3 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",ff3d527e14b407ae52cb077d9c93e5bb76ca5aaf6adc05169264f183539bcdb4
For Sale,85000000,,28333333.0,Lagos,,,3.0,,,0,,,"Featured For Sale ₦85,000,000 For Sale For Sale Brand New 3 Bedroom Terraced Duplex. Abraham Adesanya, Ajah, Lagos State. 85, ₦85,000,000 Etiosa, Lagos, Lagos FOR SALE: BRAND NEW 3 BEDROOM TERRACED DUPLEX.   : ABRAHAM ADESANYA,... ID: NL-51075 Beds: 3 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",2001ccbbaa236c9845ba72559f6b133a45e0adb9ebf736f30950b17a66bcadb9
For Sale,230000000,,57500000.0,Lagos,,,4.0,,,1,,,"Featured For Sale ₦230,000,000 For Sale For Sale Exquisitely Finished 4 Bedroom Fully Detached Duplex With Bq . Ikota Lekki, Lagos Stat ₦230,000,000 Lekki, Lagos, Lagos FOR SALE: EXQUISITELY FINISHED 4 BEDROOM FULLY DETACHED DUPLEX WITH BQ... ID: NL-49964 Beds: 4 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",b0a0ec00f67a687a2ae916f20696cc05558bdde38e25512cad96d2ce6d84156d
For Sale,380000000,,76000000.0,Lagos,,,5.0,,,1,,,"Featured For Sale ₦380,000,000 For Sale For Sale Exquisitely Finished 5 Bedroom Fully Detached Duplex With Bq Open Roof Top Terrace ₦380,000,000 Chevron, Lekki, Lagos FOR SALE: EXQUISITELY FINISHED 5 BEDROOM FULLY DETACHED DUPLEX WITH BQ... ID: NL-49975 Beds: 5 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",b1df95c8f6675ba34a3d5a52b5f7eecca613a15860a98fd9db645859e5146c92
For Sale,160000000,,6956521.0,Lagos,,,23.0,,,0,,,"Featured For Sale ₦160,000,000 For Sale For Sale Fully Serviced 23bedroom Apartment With Elevator. Ikate, Lekki, Lagos ,00 ₦160,000,000 Lekki, Lagos, Lagos FOR SALE : FULLY SERVICED 2/3BEDROOM APARTMENT WITH ELEVATOR.   :IKATE, LEKKI,... ID: NL-49986 Beds: 2 Availabilty: Available Flat Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",87c60150da4fdb1686c65434cb506f5f692378a07ebc0902990f9c91c0dfced1
For Sale,850000000,,170000000.0,Lagos,,,5.0,,,0,,,"Featured For Sale ₦850,000,000 For Sale For Sale Lovely 5 Bedroom Fully Detached Duplex With Swimming Pool, Cinema, Open Rooftop Terrace ₦850,000,000 Lekki, Lekki, Lagos FOR SALE: LOVELY 5 BEDROOM FULLY DETACHED DUPLEX WITH SWIMMING POOL,... ID: NL-49996 Beds: 5 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",3e72a903a16a1bb04faa5ff318e03a873a160a51901bc4d3f0f7638b8cb92f32
For Sale,650000000,,130000000.0,Lagos,,,5.0,,,1,,,"Featured For Sale ₦650,000,000 For Sale For Sale Lovely 5 Bedroom Fully Detached Duplex With Pool, Cinema Bq. Osapa, Lekki, Lagos ₦650,000,000 Lekki, Lekki, Lagos FOR SALE: LOVELY 5 BEDROOM FULLY DETACHED DUPLEX WITH POOL, CINEMA... ID: NL-50007 Beds: 5 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",0afc071a9d8f5aa055e5fce30742cb383a45a22904fc3a84ea2a36f28d48b6de
For Sale,80000000,,26666666.0,Lagos,,,3.0,,,0,,,"Featured For Sale ₦80,000,000 For Sale For Sale Most Affordable 3 Bedroom Terraced Duplex With Inverter Solar. Lekki County, Ikota ₦80,000,000 Lekki, Lagos, Lagos FOR SALE: MOST AFFORDABLE 3 BEDROOM TERRACED DUPLEX WITH INVERTER &... ID: NL-50051 Beds: 3 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",8d1f1541ee8366f231f9c57646cccd07e9871aa89f808c871949b8ee5f954b41
For Sale,2500000004,,625000001.0,Lagos,,,4.0,,,1,,,"Featured For Sale ₦250,000,000 For Sale Unique 4 Bedroom Fully Detached Duplex With Bq. Orchid, Lekki, Lagos State. ,,. F ₦250,000,000 Lekki, Lagos, Lagos UNIQUE 4 BEDROOM FULLY DETACHED DUPLEX WITH BQ.   : ORCHID, LEKKI,... ID: NL-50062 Beds: 4 Availabilty: Available Duplex Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",e85a85d4837a9838b8b3aacb8144526cfbbacd0aa3673ce7920dd9d9be83e9c2
