title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Explore,,,,Lagos,,,,,,0,,,"Explore Commercial Properties Office Spaces, Hotels, Shops, Warehouses Lands in Nigeria Discover Nigeria lands for sale Buy Properties in Lagos Explore Lagos property listings for sale Rentals in Lagos Find a neighbourhood you’ll love to live in Properties in Nigeria Navigate Nigeria's property listings",,,,,,,,,https://privateproperty.ng/,privateproperty.ng,2025-08-21 11:52:05,"6.4550575,3.3941795",23c2bece8cd27ffb94c5b2804302cae362a8c2f41ca338b27964bc1f44b05117
Buy Properties in Lagos Explore Lagos property listings for sale,,,,Lagos,,,,,,0,,,Buy Properties in Lagos Explore Lagos property listings for sale,,,,,,,,,https://privateproperty.ng/property-for-sale/lagos,privateproperty.ng,2025-08-21 11:52:05,"6.4550575,3.3941795",a10cf2b9dbfea7cf0e9e1a73a88851cd088155d2a799f770e874bdb97f37f775
Rentals in Lagos Find a neighbourhood you’ll love to live in,,,,Lagos,,,,,,0,,,Rentals in Lagos Find a neighbourhood you’ll love to live in,,,,,,,,,https://privateproperty.ng/property-for-rent/lagos,privateproperty.ng,2025-08-21 11:52:05,"6.4550575,3.3941795",277e36953d257dfb0cd5e6479c5604afddefe09bba0cb8b4e7c596f1aab3ec30
Properties in Lagos,,,,Lagos,,,,,,0,,,Properties in Lagos,,,,,,,,,https://privateproperty.ng/property-for-all/lagos,privateproperty.ng,2025-08-21 11:52:05,"6.4550575,3.3941795",010dc22bf438a4ac3b304ba79f6f93d9872e834cd569112379dc7849fdf46f44
Properties in Ikeja,,,,Ikeja,,,,,,0,,,Properties in Ikeja,,,,,,,,,https://privateproperty.ng/property-for-all/ikeja,privateproperty.ng,2025-08-21 11:52:05,"6.5960605,3.340787",e549deafe9d4668849b604f21b3ea56fd6ac37098485ab525d59c00a62a6b723
Properties in Lekki,,,,Lekki,,,,,,0,,,Properties in Lekki,,,,,,,,,https://privateproperty.ng/property-for-all/lekki,privateproperty.ng,2025-08-21 11:52:05,"6.4711251,3.8147504",1bd49787daa4c3505391b462961abe735fa3e228e72fb4a6b2d5689acca21f04
Properties in Ikoyi,,,,Ikoyi,,,,,,0,,,Properties in Ikoyi,,,,,,,,,https://privateproperty.ng/property-for-all/ikoyi,privateproperty.ng,2025-08-21 11:52:05,"6.456061,3.442218",a887d6e6313dce330422f665dc76bbf7c988b44691abf0f1a2cf5a9f8ad7b561
Properties in Ibeju-Lekki,,,,Lekki,,,,,,0,,,Properties in Ibeju-Lekki,,,,,,,,,https://privateproperty.ng/property-for-all/ibeju-lekki,privateproperty.ng,2025-08-21 11:52:05,"6.4711251,3.8147504",e1d4acb72d3cbef19237feb63905bccbdc87f15857874fceff4171985ddafc6a
Short Lets in Ikeja,,,,Ikeja,,,,,,0,,,Short Lets in Ikeja,,,,,,,,,https://privateproperty.ng/short-let/ikeja,privateproperty.ng,2025-08-21 11:52:05,"6.5960605,3.340787",cdfea90a89b4909eb0ce7f4a99fce301d89e637359ba18a771416a99107bc4e1
Short Lets in Lekki,,,,Lekki,,,,,,0,,,Short Lets in Lekki,,,,,,,,,https://privateproperty.ng/short-let/lekki,privateproperty.ng,2025-08-21 11:52:05,"6.4711251,3.8147504",2383f4f198a21b11c85ad865eb00e3684bf775a7474b0dbc9611f1b7c280e8c1
Short Lets in Ikoyi,,,,Ikoyi,,,,,,0,,,Short Lets in Ikoyi,,,,,,,,,https://privateproperty.ng/short-let/ikoyi,privateproperty.ng,2025-08-21 11:52:05,"6.456061,3.442218",9b968f136ce393134478baace5f2c5b065d866cd1354a31b13f7b64631f4d8d0
Short Lets in Ajah,,,,Ajah,,,,,,0,,,Short Lets in Ajah,,,,,,,,,https://privateproperty.ng/short-let/ajah,privateproperty.ng,2025-08-21 11:52:05,"6.4694716,3.5623861",3846edf1afdd2d4f0fd2b0732ab2ae92fc9d4d699fe3d9a9adafc7d19d0b2b0c
Lands in Lagos,,,,Lagos,,,,,,0,,,Lands in Lagos,,,,,,,,,https://privateproperty.ng/land-for-sale/lagos,privateproperty.ng,2025-08-21 11:52:05,"6.4550575,3.3941795",f0cd9c6311838c163f0bb6e65bb50808adb1da3ee2ce0e18cb6bda4833be7ef5
