title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Browse by Top Cities,,,,Lagos,,,,,,0,,,Browse by Top Cities Lagos Apartment for Sale in Lagos Apartment for Rent in Lagos Land for Sale in Lagos Duplex and Homes for Sale in Lagos Duplex and Home for Rent in Lagos Lekki Apartment for Sale in Lekki Apartment for Rent in Lekki Land for Sale in Lekki Duplex and Homes for Sale in Lekki Duplex and Home for Rent in Lekki Abuja Apartment for Rent in Abuja Search Apartment for Sale in Abuja Land for Sale in Abuja Duplex and Homes for Sale in Abuja Duplex and Home for Rent in Abuja Ikeja Apartment for Sale in Ikeja Apartment for Rent in Ikeja Land for Sale in Ikeja 2023 Duplex and Homes for Sale in Ikeja Duplex and Home for Rent in Ikeja Ibadan Apartment for Sale in Ibadan Apartment for Rent in Ibadan Land for Sale in Ibadan Duplex and Homes for Sale in Ibadan Duplex and Home for Rent in Ibadan,,,,,,,,,https://propertylisthub.com/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",b339f6e2c6431657f00ef5360704f536f5f65390e40b6048e6e8f0cb4841266c
Lagos,,,,Lagos,,,,,,0,,,Lagos Apartment for Sale in Lagos Apartment for Rent in Lagos Land for Sale in Lagos Duplex and Homes for Sale in Lagos Duplex and Home for Rent in Lagos,,,,,,,,,https://propertylisthub.com/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",b30795483896f5562b28a008b232742db22e3ec2ad64ec98ebd910819b37f37d
Apartment for Sale in Lagos,,,,Lagos,,,,,,0,,,Apartment for Sale in Lagos,,,,,,,,,https://propertylisthub.com/apartment-for-sale-in-lagos/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",130c9511395c4fe43b9498f50281ee3c8834bed4ce7806785b1125bfbafaef4b
Apartment for Rent in Lagos,,,,Lagos,,,,,,0,,,Apartment for Rent in Lagos,,,,,,,,,https://propertylisthub.com/apartment-for-rent-in-lagos/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",81b43aab66644c1f10877473c63110f698a21fc48c85fbf12db0b3b3c7045048
Land for Sale in Lagos,,,,Lagos,,,,,,0,,,Land for Sale in Lagos,,,,,,,,,https://propertylisthub.com/land-for-sale-in-lagos/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",e5d33158d1c10df7666524f424f3150438fe01bf6e16611e8eedb53e15a6981f
Duplex and Homes for Sale in Lagos,,,,Lagos,,,,,,0,,,Duplex and Homes for Sale in Lagos,,,,,,,,,https://propertylisthub.com/duplex-and-homes-for-sale-in-lagos/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",5bd656672f201809ff53d483f287f0ff29d942b834d3a1dd7d13a959cac08f17
Duplex and Home for Rent in Lagos,,,,Lagos,,,,,,0,,,Duplex and Home for Rent in Lagos,,,,,,,,,https://propertylisthub.com/duplex-and-home-for-rent-in-lagos/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",f5df36a60b54c2a123c5f4dedf8943138abeddb37f6097b4f23c45d80c9ea51f
Lekki,,,,Lekki,,,,,,0,,,Lekki Apartment for Sale in Lekki Apartment for Rent in Lekki Land for Sale in Lekki Duplex and Homes for Sale in Lekki Duplex and Home for Rent in Lekki,,,,,,,,,https://propertylisthub.com/,propertylisthub.com,2025-08-21 12:54:58,"6.4711251,3.8147504",cc792d9343c9ad9f78af626af11ef85163c152f1109eb1a59a002098dc91f7de
Apartment for Sale in Lekki,,,,Lekki,,,,,,0,,,Apartment for Sale in Lekki,,,,,,,,,https://propertylisthub.com/apartment-for-sale-in-lekki/,propertylisthub.com,2025-08-21 12:54:58,"6.4711251,3.8147504",2aad46f4bfc5e037ea2d189a72d29bc30f5a342996727a502afdb7ba2e21b211
Apartment for Rent in Lekki,,,,Lekki,,,,,,0,,,Apartment for Rent in Lekki,,,,,,,,,https://propertylisthub.com/search-apartment-for-rent-in-lekki/,propertylisthub.com,2025-08-21 12:54:58,"6.4711251,3.8147504",1ec417db6f558d30466cbfcd6e95abcfaca194f20f2455f881ac7015f8d6a87f
Land for Sale in Lekki,,,,Lekki,,,,,,0,,,Land for Sale in Lekki,,,,,,,,,https://propertylisthub.com/land-for-sale-in-lekki/,propertylisthub.com,2025-08-21 12:54:58,"6.4711251,3.8147504",298170e3605dad63e94241f01c5c353e0581f5fe861a82677b5549c7ee7d0ae0
