title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Land in Victoria Island Lagos | Land for sale in Victoria Island | Land in Victoria Island,,,,,,House,,,,0,024 sqm,,"Land for sale in Victoria Island Lagos. Buy  Land for sale at ₦9,000,000,000. 7,024sqm land in Victoria Island Lagos is a Land. ✓ Real-time photos. Contact now for quick details on 7,024sqm land",,,,,,,091556***,https://images.propertypro.ng/large/7024sqm-for-sale-at-victoria-island-c8tcPl12laGGcEVJPU59.jpeg,https://propertypro.ng/property/land-for-sale-victoria-island-lagos-5NNRY,PropertyPro Nigeria,2025-10-20 07:17:58,,23a6746c82edfa0275b97f63c372c3d24c7b47062a51814e08861c3fa15ef590
3 bedroom House in Lekki Phase 1 Lekki Lagos | House for sale in Lekki | House in Lekki | 3 bedroom,,,,,,Listitem,3.0,,,0,,,"3 bedroom House for sale in Lekki Phase 1 Lekki Lagos. Buy 3 bedroom House for sale at ₦600,000,000.  3 Bedroom Apartment with Swimming Pool in Lekki Phase 1 Lekki Lagos is a House. ✓ Real-time photos. Contact now for quick details on  3 Bedroom Apartment with Swimming Pool",,,,,,,081491***,https://images.propertypro.ng/large/3-bedroom-apartment-with-swimming-pool-06HXxcl95HdHsz9HEtUi.jpg,https://propertypro.ng/property/3-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-7NRQQ,PropertyPro Nigeria,2025-10-20 07:17:58,,6940b63d3dec7349ce5c60dc5049b3e7b455042a08a04bd208295cec7f99a96d
"5 bedroom Semi Detached Duplex, House in Ikota Lekki Lagos | Semi Detached Duplex, House for sale in Lekki | Semi Detached Duplex, House in Lekki | 5 bedroom",,,,,,Listitem,5.0,,,0,,,"5 bedroom Semi Detached Duplex, House for sale in Ikota Lekki Lagos. Buy 5 bedroom Semi Detached Duplex, House for sale at ₦150,000,000.  4 Bedroom Semi-Detached Duplex in Ikota Lekki Lagos is a Semi Detached Duplex, House. ✓ Real-time photos. Contact now for quick details on  4 Bedroom Semi-Detached Duplex",,,,,,,081491***,https://images.propertypro.ng/large/well-finished-4-bedroom-semi-detached-duplex-e5UcGnIT0E8oPCYLr8fZ.jpg,https://propertypro.ng/property/5-bedroom-house-for-sale-harris-drive-ikota-lekki-lagos-6NRMN,PropertyPro Nigeria,2025-10-20 07:17:58,,208d258cb355184227690b733c42b2cc424d231f242979ac58f6cf0369cc6c77
"4 bedroom Semi Detached Duplex, House in Ajah Lagos | Semi Detached Duplex, House for sale in Ajah | Semi Detached Duplex, House in Ajah | 4 bedroom",,,,,,House,4.0,,,0,,,"4 bedroom Semi Detached Duplex, House for sale in Ajah Lagos. Buy 4 bedroom Semi Detached Duplex, House for sale at ₦135,000,000. 4 BEDROOM SEMI-DETACHED DUPLEX in Ajah Lagos is a Semi Detached Duplex, House. ✓ Real-time photos. Contact now for quick details on 4 BEDROOM SEMI-DETACHED DUPLEX",,,,,,,081491***,https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-9MFhlMKKgfYMbFs8uuHp.jpg,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-1NRMX,PropertyPro Nigeria,2025-10-20 07:17:58,,9c30d557511c20d5b7b049577a0155ef4ee9c222c4f9551bccb4d7d4e9de9348
"5 bedroom Detached Duplex, House in Ikoyi Lagos | Detached Duplex, House for sale in Ikoyi | Detached Duplex, House in Ikoyi | 5 bedroom",,,,,,House,5.0,,,0,,,"5 bedroom Detached Duplex, House for sale in Ikoyi Lagos. Buy 5 bedroom Detached Duplex, House for sale at ₦6,750,000,000. 5 bedroom fully detached smart villas in Ikoyi Lagos is a Detached Duplex, House. ✓ Real-time photos. Contact now for quick details on 5 bedroom fully detached smart villas",,,,,,,081491***,https://images.propertypro.ng/large/5-bedroom-fully-detached-smart-villas-XpgAidLlqROILZu9yf5N.jpg,https://propertypro.ng/property/5-bedroom-house-for-sale-ikoyi-lagos-7NRQC,PropertyPro Nigeria,2025-10-20 07:17:58,,a4dccaf2cdaf96556d74db9af767b2339eee944842ad8c84351005b5ac76d92b
1 bedroom mini flat House in Ologolo Lekki Lagos | House for sale in Lekki | House in Lekki | 1 bedroom mini flat,,,,,,Listitem,1.0,,,0,,,"1 bedroom mini flat House for sale in Ologolo Lekki Lagos. Buy 1 bedroom mini flat House for sale at ₦70,000,000. 1 Bedroom Apartment  in Ologolo Lekki Lagos is a House. ✓ Real-time photos. Contact now for quick details on 1 Bedroom Apartment",,,,,,,081491***,https://images.propertypro.ng/large/lovely-one-bedroom-apartment-OJIlump5XgAlgxudTJKT.jpg,https://propertypro.ng/property/1-bedroom-house-for-sale-ologolo-lekki-lagos-5NRJX,PropertyPro Nigeria,2025-10-20 07:17:58,,fbe2f4148ccc382cfac97c6ca720ef28a5a0f9fd3e25f06fc31c468b70012f2f
2 bedroom House in Oniru Victoria Island Lagos | House for sale in Victoria Island | House in Victoria Island | 2 bedroom,,,,,,House,2.0,,,0,,,"2 bedroom House for sale in Oniru Victoria Island Lagos. Buy 2 bedroom House for sale at ₦305,000,000. Newly Built 2 Bedroom Apartment in Oniru Victoria Island Lagos is a House. ✓ Real-time photos. Contact now for quick details on Newly Built 2 Bedroom Apartment",,,,,,,081491***,https://images.propertypro.ng/large/newly-built-2-bedroom-apartment-1H4o78Tgl1z6Fm5MMrac.jpg,https://propertypro.ng/property/2-bedroom-house-for-sale-oniru-victoria-island-lagos-2NRUX,PropertyPro Nigeria,2025-10-20 07:17:58,,e4d02c94431cc6b957dfab06eced47b0842109ee9ee33a877d039f85cf3ee69c
"5 bedroom Detached Duplex, House in Ikate Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",,,,,,Listitem,5.0,,,1,,,"5 bedroom Detached Duplex, House for sale in Ikate Lekki Lagos. Buy 5 bedroom Detached Duplex, House for sale at ₦980,000,000. 5 BEDroom SEMI DETACHED DUPLEX with BQ in Ikate Lekki Lagos is a Detached Duplex, House. ✓ Real-time photos. Contact now for quick details on 5 BEDroom SEMI DETACHED DUPLEX with BQ",,,,,,,081491***,https://images.propertypro.ng/large/5-bed-semi-detached-duplex-uC8tSZ61W3Gf1sFcFIqM.jpg,https://propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-2NRXT,PropertyPro Nigeria,2025-10-20 07:17:58,,4fd615bf7abe2218699a40f0cdfa36d572a10c6943a738e324813da66ea591d0
"5 bedroom Detached Duplex, House in Lekki Phase 1 Lekki Lagos | Detached Duplex, House for sale in Lekki | Detached Duplex, House in Lekki | 5 bedroom",,,,,,Listitem,5.0,,,1,,,"5 bedroom Detached Duplex, House for sale in Lekki Phase 1 Lekki Lagos. Buy 5 bedroom Detached Duplex, House for sale at ₦820,000,000. 5 bedroom fully detached duplex with Bq in Lekki Phase 1 Lekki Lagos is a Detached Duplex, House. ✓ Real-time photos. Contact now for quick details on 5 bedroom fully detached duplex with Bq",,,,,,,081491***,https://images.propertypro.ng/large/5bedroom-fully-detached-duplex-with-a-pool-4376E9joP5jd3RvJIo6a.jpg,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-9NRXR,PropertyPro Nigeria,2025-10-20 07:17:58,,ceef93c493d54f994d141614e3580afe004aa7e2593b2fc765e973847c9bbbbd
"4 bedroom Semi Detached Duplex, House in Ologolo Lekki Lagos | Semi Detached Duplex, House for sale in Lekki | Semi Detached Duplex, House in Lekki | 4 bedroom",,,,,,Listitem,4.0,,,1,,,"4 bedroom Semi Detached Duplex, House for sale in Ologolo Lekki Lagos. Buy 4 bedroom Semi Detached Duplex, House for sale at ₦190,000,000. 4 Bedroom Semi-Detached Duplex WITH BQ in Ologolo Lekki Lagos is a Semi Detached Duplex, House. ✓ Real-time photos. Contact now for quick details on 4 Bedroom Semi-Detached Duplex WITH BQ",,,,,,,081491***,https://images.propertypro.ng/large/4-bedroom-semi-detached-duplex-amp-bq-qpHXs72FoAn8nqMVKTpY.jpg,https://propertypro.ng/property/4-bedroom-house-for-sale-ologolo-lekki-lagos-8NRJY,PropertyPro Nigeria,2025-10-20 07:17:58,,8e9c29de6d08cd4885bb8efe72a9ca0709edb7af1a2991133204484303a576e8
