title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Asokoro,3500000004,,437500000,Lagos,,,8,,,1,,,"9 Asokoro Featured BUY 8 BEDROOM DUPLEX FOR SALE AT ASOKORO Newly built and fantastic 8bedrooms fully detached duplex, all rooms ensuite with 2rms BQ ... Newly built and fantastic 8bedrooms fully detached duplex, all rooms ensuite with 2rms BQ and guest chalet, well fitted and equipped large kitchen, fully furnis ... 8 details OYEME SILAS & CO 5 Victoria Island Featured RENT 2 BEDROOM APARTMENT FOR RENT AT VICTORIA ISL... Two bedroom apartment, fully furnished for Lease at 1004 Estate, Victoria Island. Two bedroom apartment, fully furnished for Lease at 1004 Estate, Victoria Island. 2 details EASILINK 5 Victoria Island Featured BUY 4 BEDROOM HOUSE FOR SALE AT VICTORIA ISLAND NGN 350,000,000 PER UNIT 4 Nos. 4 bedroom detached house in the Serene estate of Dideolu Estate, Victoria Island, L ... 4 Nos. 4 bedroom detached house in the Serene estate of Dideolu Estate, Victoria Island, Lagos.   Price: #350m per unit 4 details EASILINK load more listings",,,,,,,,,https://castles.com.ng/property_area/asokoro/,castles.com.ng,2025-08-21 15:50:43,"6.4550575,3.3941795",6ecd395d566ee246ab149f63f2909abf652018ec6f13dac56054cd0dfaffa70e
Victoria Island,,,,Victoria Island,,,2,,,0,,,"5 Victoria Island Featured RENT 2 BEDROOM APARTMENT FOR RENT AT VICTORIA ISL... Two bedroom apartment, fully furnished for Lease at 1004 Estate, Victoria Island. Two bedroom apartment, fully furnished for Lease at 1004 Estate, Victoria Island. 2 details EASILINK",,,,,,,,,https://castles.com.ng/property_area/victoria-island/,castles.com.ng,2025-08-21 15:50:43,"6.4300279,3.4259904",865b4dc12c2891a349ef5b1833b17734068fc1c76c53af77e0d86fb4ebcc8ca9
Victoria Island,,,,Victoria Island,,,2,,,0,,,"5 Victoria Island Featured RENT 2 BEDROOM APARTMENT FOR RENT AT VICTORIA ISL... Two bedroom apartment, fully furnished for Lease at 1004 Estate, Victoria Island. Two bedroom apartment, fully furnished for Lease at 1004 Estate, Victoria Island. 2 details EASILINK",,,,,,,,,https://castles.com.ng/property_area/victoria-island/,castles.com.ng,2025-08-21 15:50:43,"6.4300279,3.4259904",865b4dc12c2891a349ef5b1833b17734068fc1c76c53af77e0d86fb4ebcc8ca9
Victoria Island,,,,Victoria Island,,,,,,0,,,5 Victoria Island Featured RENT,,,,,,,,,https://castles.com.ng/property_area/victoria-island/,castles.com.ng,2025-08-21 15:50:43,"6.4300279,3.4259904",865b4dc12c2891a349ef5b1833b17734068fc1c76c53af77e0d86fb4ebcc8ca9
Victoria Island,,,,Victoria Island,,,,,,0,,,Victoria Island,,,,,,,,,https://castles.com.ng/property_area/victoria-island/,castles.com.ng,2025-08-21 15:50:43,"6.4300279,3.4259904",865b4dc12c2891a349ef5b1833b17734068fc1c76c53af77e0d86fb4ebcc8ca9
2 BEDROOM APARTMENT FOR RENT AT VICTORIA ISL...,,,,Victoria Island,,,2,,,0,,,"2 BEDROOM APARTMENT FOR RENT AT VICTORIA ISL... Two bedroom apartment, fully furnished for Lease at 1004 Estate, Victoria Island. Two bedroom apartment, fully furnished for Lease at 1004 Estate, Victoria Island. 2 details EASILINK",,,,,,,,,https://castles.com.ng/estate_property/2-bedroom-apartment-for-rent-at-victoria-island/,castles.com.ng,2025-08-21 15:50:43,"6.4300279,3.4259904",ea11fe5f5c9ab93a5eaf3df61da621470d9b1f1ccf6cfe6ebd5e1a0848e5afc4
Victoria Island,3500000004,,875000001,Lagos,,,4,,,0,,,"5 Victoria Island Featured BUY 4 BEDROOM HOUSE FOR SALE AT VICTORIA ISLAND NGN 350,000,000 PER UNIT 4 Nos. 4 bedroom detached house in the Serene estate of Dideolu Estate, Victoria Island, L ... 4 Nos. 4 bedroom detached house in the Serene estate of Dideolu Estate, Victoria Island, Lagos.   Price: #350m per unit 4 details EASILINK",,,,,,,,,https://castles.com.ng/property_area/victoria-island/,castles.com.ng,2025-08-21 15:50:43,"6.4550575,3.3941795",48f5c9d69f52dca551f3b3454b8215b4cccd6c0e9602fc59b007c95c5a982ab2
Victoria Island,3500000004,,875000001,Lagos,,,4,,,0,,,"5 Victoria Island Featured BUY 4 BEDROOM HOUSE FOR SALE AT VICTORIA ISLAND NGN 350,000,000 PER UNIT 4 Nos. 4 bedroom detached house in the Serene estate of Dideolu Estate, Victoria Island, L ... 4 Nos. 4 bedroom detached house in the Serene estate of Dideolu Estate, Victoria Island, Lagos.   Price: #350m per unit 4 details EASILINK",,,,,,,,,https://castles.com.ng/property_area/victoria-island/,castles.com.ng,2025-08-21 15:50:43,"6.4550575,3.3941795",48f5c9d69f52dca551f3b3454b8215b4cccd6c0e9602fc59b007c95c5a982ab2
Victoria Island,,,,Victoria Island,,,,,,0,,,5 Victoria Island Featured BUY,,,,,,,,,https://castles.com.ng/property_area/victoria-island/,castles.com.ng,2025-08-21 15:50:43,"6.4300279,3.4259904",865b4dc12c2891a349ef5b1833b17734068fc1c76c53af77e0d86fb4ebcc8ca9
Victoria Island,,,,Victoria Island,,,,,,0,,,Victoria Island,,,,,,,,,https://castles.com.ng/property_area/victoria-island/,castles.com.ng,2025-08-21 15:50:43,"6.4300279,3.4259904",865b4dc12c2891a349ef5b1833b17734068fc1c76c53af77e0d86fb4ebcc8ca9
