title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,http://cwlagos.com,cwlagos.com,2025-08-21 14:01:47,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
Cities,,,,Lagos,,,,,,0,,,Cities Lagos Dubai Abuja Ghana (Coming Soon),,,,,,,,,https://cwlagos.com/,cwlagos.com,2025-08-21 14:01:47,"6.4550575,3.3941795",b2c8143524608b1637d625907cd5879bc9e33ab9715788e4715fa21308a14a19
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,http://cwlagos.com,cwlagos.com,2025-08-21 14:01:47,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
Short Stays,,,,Lekki,,,,,,0,,,Short Stays Exclusive Rent Sale Waterfront Plot commercial Find Property Find Property Location Abuja Agungi Ajah Apo Asokoro Banana Island Chevron Chevron Drive Eko Atlantic City Galadimawa Guzape Gwarimpa Gwarinpa Idado Idu Ikate Ikeja Ikota ikoyi Ikoyi Southwest Jabi Jahi Jakande Kado Katampe Kusampe Lekki Lekki Phase 1 Lifecamp Maitama Mbora Ologolo Orange Island Phase 1 Orchid Osapa Osborne Foreshore 1 Osborne Foreshore 2 Pinnock Sango Ota Sangotedo Victoria Island Wuse 2 Wuye Location Property Type Apartment Bungalow Commercial Space Detached Maisonette Mini Flat Penthouse Semi Detached Terraced Town House Triplex Property Type Rooms 1 2 3 4 5 Rooms Advanced Find Property Location Abuja Agungi Ajah Apo Asokoro Banana Island Chevron Chevron Drive Eko Atlantic City Galadimawa Guzape Gwarimpa Gwarinpa Idado Idu Ikate Ikeja Ikota ikoyi Ikoyi Southwest Jabi Jahi Jakande Kado Katampe Kusampe Lekki Lekki Phase 1 Lifecamp Maitama Mbora Ologolo Orange Island Phase 1 Orchid Osapa Osborne F,,,,,,,,,https://cwlagos.com/#tab-jAqE0-0,cwlagos.com,2025-08-21 14:01:47,"6.4711251,3.8147504",d61472c54a8624af687f7498d17bc8bf0a3f36cd68ce293a59d1b14a1940714b
"For Sale Featured Available for sale #1,400,000,000 Detached Luxury 5 Bedroom Detached Duplex plus BQ Pinnock Beach Estate, Lekki, Lagos. Beds: 5 Baths: 5",,,,Lagos,,,5,5,,1,,,"For Sale Featured Available for sale #1,400,000,000 Detached Luxury 5 Bedroom Detached Duplex plus BQ Pinnock Beach Estate, Lekki, Lagos. Beds: 5 Baths: 5",,,,,,,,,https://cwlagos.com/property/luxury-5-bedroom-detached-duplex-plus-bq/,cwlagos.com,2025-08-21 14:01:47,"6.4550575,3.3941795",71bca8763651cae0799c5a547fc5ad42e05116c539efb0f647370bde1d5e53be
Detached,,,,Lagos,,,5,5,,1,,,"Detached Luxury 5 Bedroom Detached Duplex plus BQ Pinnock Beach Estate, Lekki, Lagos. Beds: 5 Baths: 5",,,,,,,,,https://cwlagos.com/property-type/detached/,cwlagos.com,2025-08-21 14:01:47,"6.4550575,3.3941795",0f7cddcda5871befe737dfdd1d873dce3841f728f2ab4551bc8d854b4a25f723
"Pinnock Beach Estate, Lekki, Lagos.",,,,Lagos,,,,,,0,,,"Pinnock Beach Estate, Lekki, Lagos.",,,,,,,,,https://maps.google.com/maps?q=Pinnock+Beach+Estate%2C+Lekki%2C+Lagos.&zoom=14&size=512x512&maptype=roadmap&sensor=false,cwlagos.com,2025-08-21 14:01:47,"6.4550575,3.3941795",52ece9a4ebabcd103a5ee25aaf73fa07439673b7fadd9b802052b3dc2e9ac7fa
"For Sale Featured Available for sale $1,100,000 Maisonette Exclusive 4 Bedroom Maisonette with Swimming Pool Ikoyi, Lagos. Beds: 4 Baths: 4",,,,Lagos,,,4,4,,0,,,"For Sale Featured Available for sale $1,100,000 Maisonette Exclusive 4 Bedroom Maisonette with Swimming Pool Ikoyi, Lagos. Beds: 4 Baths: 4",,,,,,,,,https://cwlagos.com/property/exclusive-4-bedroom-maisonette-with-swimming-pool-2/,cwlagos.com,2025-08-21 14:01:47,"6.4550575,3.3941795",c6ee305719c7357fe822f95854063d68c261ccb756a29303091420fa33ec47e8
Maisonette,,,,Lagos,,,4,4,,0,,,"Maisonette Exclusive 4 Bedroom Maisonette with Swimming Pool Ikoyi, Lagos. Beds: 4 Baths: 4",,,,,,,,,https://cwlagos.com/property-type/maisonette/,cwlagos.com,2025-08-21 14:01:47,"6.4550575,3.3941795",120131d80ad17ccacd4c635b26f1c77fe599f1ef09676acd67fa04337e2cc1ed
"Ikoyi, Lagos.",,,,Lagos,,,,,,0,,,"Ikoyi, Lagos.",,,,,,,,,https://maps.google.com/maps?q=Ikoyi%2C+Lagos.&zoom=14&size=512x512&maptype=roadmap&sensor=false,cwlagos.com,2025-08-21 14:01:47,"6.4550575,3.3941795",ce8c7386d8b95b7a1d9d1b412890e68ae99fc1ded6b4ed865c3476fb5cce5eee
