title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
28 Feb,,,,Lagos,,,,,,0,,,"28 Feb Uncategorized facibusc 5 Benefits of Owning a House in Lagos The special thing about Lagos and the reasons why you should own land or house property in Lagos is that it is the sixth-largest city in the world by city population, and is known View More",,,,,,,,,https://facibushousing.com/2025/02/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",c9900b10a63fae40cda4383a248b32ea30fe4a987081b13e92b37b8ba1951c8b
3 Aug,,,,Lagos,,,,,,0,,Deed of Assignment,"3 Aug Uncategorized facibusc Deed of Assignment and How to Obtain It (+Sample) Harrison, a property developer in Lagos wants to sell his property to Mr. Michael. They conclude on a price and Harrison executes a deed of assignment in favor of Mr. Michael. Howe View More",,,,,,,,,https://facibushousing.com/2025/08/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",024eb87993ac4eb393ece19af10be2d036a378260cc900ff1c07d2093ffd67c8
"3 Jul Uncategorized facibusc Lekki Phase 1, Lagos: Comprehensive Area Guide Did you know that Lekki phase 1 was formerly a slum called Maroko in the Eti-Osa loc",,,,Lagos,,,,,,0,,,"3 Jul Uncategorized facibusc Lekki Phase 1, Lagos: Comprehensive Area Guide Did you know that Lekki phase 1 was formerly a slum called Maroko in the Eti-Osa local government area of Lagos state? It was redeveloped in the 1990s into a high-end area by the L View More",,,,,,,,,https://facibushousing.com/lekki-phase-1-lagos-area-guide/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",b92dd47f5ff3205032902b0afa1039a089093925953d59943df69d0468712c57
"22 Jun Uncategorized facibusc Ajah Lagos: Comprehensive Area Guide Ajah Lagos, located along the Lekki-Epe Expressway in the Eti-Osa Local Government Area of La",,,,Lagos,,,,,,0,,,"22 Jun Uncategorized facibusc Ajah Lagos: Comprehensive Area Guide Ajah Lagos, located along the Lekki-Epe Expressway in the Eti-Osa Local Government Area of Lagos State, is one of the fastest growing residential and commercial area in Nigeria. As View More",,,,,,,,,https://facibushousing.com/ajah-lagos-area-guide/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",e6a5e4666991228ba07a430e5a612f15c8153d37d551e385b8e6b3a434c7cd65
28 Feb,,,,Lagos,,,,,,0,,,"28 Feb Uncategorized facibusc 5 Benefits of Owning a House in Lagos The special thing about Lagos and the reasons why you should own land or house property in Lagos is that it is the sixth-largest city in the world by city population, and is known View More",,,,,,,,,https://facibushousing.com/2025/02/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",c9900b10a63fae40cda4383a248b32ea30fe4a987081b13e92b37b8ba1951c8b
3 Aug,,,,Lagos,,,,,,0,,Deed of Assignment,"3 Aug Uncategorized facibusc Deed of Assignment and How to Obtain It (+Sample) Harrison, a property developer in Lagos wants to sell his property to Mr. Michael. They conclude on a price and Harrison executes a deed of assignment in favor of Mr. Michael. Howe View More",,,,,,,,,https://facibushousing.com/2025/08/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",024eb87993ac4eb393ece19af10be2d036a378260cc900ff1c07d2093ffd67c8
"3 Jul Uncategorized facibusc Lekki Phase 1, Lagos: Comprehensive Area Guide Did you know that Lekki phase 1 was formerly a slum called Maroko in the Eti-Osa loc",,,,Lagos,,,,,,0,,,"3 Jul Uncategorized facibusc Lekki Phase 1, Lagos: Comprehensive Area Guide Did you know that Lekki phase 1 was formerly a slum called Maroko in the Eti-Osa local government area of Lagos state? It was redeveloped in the 1990s into a high-end area by the L View More",,,,,,,,,https://facibushousing.com/lekki-phase-1-lagos-area-guide/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",b92dd47f5ff3205032902b0afa1039a089093925953d59943df69d0468712c57
"22 Jun Uncategorized facibusc Ajah Lagos: Comprehensive Area Guide Ajah Lagos, located along the Lekki-Epe Expressway in the Eti-Osa Local Government Area of La",,,,Lagos,,,,,,0,,,"22 Jun Uncategorized facibusc Ajah Lagos: Comprehensive Area Guide Ajah Lagos, located along the Lekki-Epe Expressway in the Eti-Osa Local Government Area of Lagos State, is one of the fastest growing residential and commercial area in Nigeria. As View More",,,,,,,,,https://facibushousing.com/ajah-lagos-area-guide/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",e6a5e4666991228ba07a430e5a612f15c8153d37d551e385b8e6b3a434c7cd65
28 Feb,,,,Lagos,,,,,,0,,,"28 Feb Uncategorized facibusc 5 Benefits of Owning a House in Lagos The special thing about Lagos and the reasons why you should own land or house property in Lagos is that it is the sixth-largest city in the world by city population, and is known View More",,,,,,,,,https://facibushousing.com/2025/02/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",c9900b10a63fae40cda4383a248b32ea30fe4a987081b13e92b37b8ba1951c8b
28 Feb,,,,Lagos,,,,,,0,,,"28 Feb Uncategorized facibusc 5 Benefits of Owning a House in Lagos The special thing about Lagos and the reasons why you should own land or house property in Lagos is that it is the sixth-largest city in the world by city population, and is known View More",,,,,,,,,https://facibushousing.com/2025/02/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",c9900b10a63fae40cda4383a248b32ea30fe4a987081b13e92b37b8ba1951c8b
3 Aug,,,,Lagos,,,,,,0,,Deed of Assignment,"3 Aug Uncategorized facibusc Deed of Assignment and How to Obtain It (+Sample) Harrison, a property developer in Lagos wants to sell his property to Mr. Michael. They conclude on a price and Harrison executes a deed of assignment in favor of Mr. Michael. Howe View More",,,,,,,,,https://facibushousing.com/2025/08/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",024eb87993ac4eb393ece19af10be2d036a378260cc900ff1c07d2093ffd67c8
"3 Jul Uncategorized facibusc Lekki Phase 1, Lagos: Comprehensive Area Guide Did you know that Lekki phase 1 was formerly a slum called Maroko in the Eti-Osa loc",,,,Lagos,,,,,,0,,,"3 Jul Uncategorized facibusc Lekki Phase 1, Lagos: Comprehensive Area Guide Did you know that Lekki phase 1 was formerly a slum called Maroko in the Eti-Osa local government area of Lagos state? It was redeveloped in the 1990s into a high-end area by the L View More",,,,,,,,,https://facibushousing.com/lekki-phase-1-lagos-area-guide/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",b92dd47f5ff3205032902b0afa1039a089093925953d59943df69d0468712c57
"22 Jun Uncategorized facibusc Ajah Lagos: Comprehensive Area Guide Ajah Lagos, located along the Lekki-Epe Expressway in the Eti-Osa Local Government Area of La",,,,Lagos,,,,,,0,,,"22 Jun Uncategorized facibusc Ajah Lagos: Comprehensive Area Guide Ajah Lagos, located along the Lekki-Epe Expressway in the Eti-Osa Local Government Area of Lagos State, is one of the fastest growing residential and commercial area in Nigeria. As View More",,,,,,,,,https://facibushousing.com/ajah-lagos-area-guide/,facibushousing.com,2025-08-21 16:52:08,"6.4550575,3.3941795",e6a5e4666991228ba07a430e5a612f15c8153d37d551e385b8e6b3a434c7cd65
