title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
"₦ 27,000,000 Outright Price Residential Plot of Land Measuring *450sqm* Is Available. *Sales @ Akinyemi Ring Road*
Residential plot of land measuring *450sqm* i",27000000,60000,9000000,Victoria Island,,,3,,,0,450 sqm,,"Property in Nigeria ₦ 27,000,000 Outright Price Residential Plot of Land Measuring *450sqm* Is Available. *Sales @ Akinyemi Ring Road*
Residential plot of land measuring *450sqm* is available for sale in... ₦ 70,000,000 Outright Price Certificate of Occupancy The land is good for a warehouse. Behind ION filing station opposite tradefair complex Badagry... ₦ 5,850,000 Outright Price Affordable 3 Bedroom Duplex in Kabusa – Addis City Estate Get your dream home in Addis City Kabusa with this 150SQM 3 Bedroom Terrace Duplex. Positioned near... ₦ 5,850,000 Outright Price Own a 3 Bedroom Terrace Duplex in Kabusa – Prime Location! This 150SQM Terrace Duplex in Addis City Kabusa is priced at ₦5.85M and offers unmatched value in... DIAMOND ₦ 24,990 per day Classic Luxury Studio Apartment 24/7 electricity
Constant Water Supply
Security
43"" Samsung Smart T.v(Newest edition)
Bluetooth... DIAMOND ₦ 24,990 per day 1 Bedroom Furnished Studio Apartment For Short Let In Yaba 24/7 electricity
Constant W",,,,,,,,,https://jiji.ng/rind-road/land-and-plots-for-sale/residential-plot-of-land-measuring-450sqm-is-available-cxcjrO2Jr0Am3RRCI5HX2CCc.html,jiji.ng,2025-10-05 14:42:47,"6.4300279,3.4259904",885eb2787d08b5eba98917daf92f8055fbf6b12573c528ab693aebb1bd75affa
"₦ 27,000,000 Outright Price Residential Plot of Land Measuring *450sqm* Is Available. *Sales @ Akinyemi Ring Road*
Residential plot of land measuring *450sqm* i",27000000,60000,9000000,Victoria Island,,,3,,,0,450 sqm,,"₦ 27,000,000 Outright Price Residential Plot of Land Measuring *450sqm* Is Available. *Sales @ Akinyemi Ring Road*
Residential plot of land measuring *450sqm* is available for sale in... ₦ 70,000,000 Outright Price Certificate of Occupancy The land is good for a warehouse. Behind ION filing station opposite tradefair complex Badagry... ₦ 5,850,000 Outright Price Affordable 3 Bedroom Duplex in Kabusa – Addis City Estate Get your dream home in Addis City Kabusa with this 150SQM 3 Bedroom Terrace Duplex. Positioned near... ₦ 5,850,000 Outright Price Own a 3 Bedroom Terrace Duplex in Kabusa – Prime Location! This 150SQM Terrace Duplex in Addis City Kabusa is priced at ₦5.85M and offers unmatched value in... DIAMOND ₦ 24,990 per day Classic Luxury Studio Apartment 24/7 electricity
Constant Water Supply
Security
43"" Samsung Smart T.v(Newest edition)
Bluetooth... DIAMOND ₦ 24,990 per day 1 Bedroom Furnished Studio Apartment For Short Let In Yaba 24/7 electricity
Constant Water Supply
Security",,,,,,,,,https://jiji.ng/rind-road/land-and-plots-for-sale/residential-plot-of-land-measuring-450sqm-is-available-cxcjrO2Jr0Am3RRCI5HX2CCc.html,jiji.ng,2025-10-05 14:42:47,"6.4300279,3.4259904",885eb2787d08b5eba98917daf92f8055fbf6b12573c528ab693aebb1bd75affa
"₦ 5,850,000 Outright Price Secure a 3 Bedroom Terrace Duplex in Addis City Kabusa At ₦5.85M, this 150SQM 3 Bedroom Terrace Duplex in Kabusa is a great opportuni",5850000,39000,1950000,Lagos,,,3,,,0,150 sqm,,"₦ 5,850,000 Outright Price Secure a 3 Bedroom Terrace Duplex in Addis City Kabusa At ₦5.85M, this 150SQM 3 Bedroom Terrace Duplex in Kabusa is a great opportunity for first-time... DIAMOND ₦ 24,990 per day Executive Studio Aprt 24/7 electricity
Constant Water Supply
Security
40"" Samsung Smart T.v(Newest edition)
Bluetooth... ₦ 125,000,000 Outright Price Prime 1 and Half Plots of Land Prime 1 and half plots of land in an elite neighbourhood. 
This property is fully fenced and gated... ₦ 9,750,000 Outright Price Addis City Kabusa – 4 Bedroom Semi-Detached Duplex ₦9.75m Own a 250SQM 4 Bedroom Semi-Detached Duplex in Addis City Kabusa for ₦9,750,000. Located close to... ₦ 600,000 per annum 2bdrm Bungalow in Pegi Kuje for rent A standard 2 bedroom flat is available for rent in pegi area of kuje Abuja ₦ 11,700,000 Outright Price Affordable 4 Bedroom Fully Detached Duplex Plot in Kabusa Get this 300SQM 4 Bedroom Fully Detached Duplex in Addis City Kabusa for ₦11.7M. The location boasts... ₦ 8",,,,,,,,,https://jiji.ng/kabusa/land-and-plots-for-sale/secure-a-3-bedroom-terrace-duplex-in-addis-city-kabusa-BDaqvgyq41sigI3fpOkkTVXj.html,jiji.ng,2025-10-05 14:42:47,"6.4550575,3.3941795",2661fd277185476a6a38ce240cce66ca026128b6fd79ac01ffa43e331b5b095d
"₦ 5,850,000 Outright Price Secure a 3 Bedroom Terrace Duplex in Addis City Kabusa At ₦5.85M, this 150SQM 3 Bedroom Terrace Duplex in Kabusa is a great opportuni",5850000,39000,1950000,Lagos,,,3,,,0,150 sqm,,"₦ 5,850,000 Outright Price Secure a 3 Bedroom Terrace Duplex in Addis City Kabusa At ₦5.85M, this 150SQM 3 Bedroom Terrace Duplex in Kabusa is a great opportunity for first-time... DIAMOND ₦ 24,990 per day Executive Studio Aprt 24/7 electricity
Constant Water Supply
Security
40"" Samsung Smart T.v(Newest edition)
Bluetooth... ₦ 125,000,000 Outright Price Prime 1 and Half Plots of Land Prime 1 and half plots of land in an elite neighbourhood. 
This property is fully fenced and gated... ₦ 9,750,000 Outright Price Addis City Kabusa – 4 Bedroom Semi-Detached Duplex ₦9.75m Own a 250SQM 4 Bedroom Semi-Detached Duplex in Addis City Kabusa for ₦9,750,000. Located close to... ₦ 600,000 per annum 2bdrm Bungalow in Pegi Kuje for rent A standard 2 bedroom flat is available for rent in pegi area of kuje Abuja ₦ 11,700,000 Outright Price Affordable 4 Bedroom Fully Detached Duplex Plot in Kabusa Get this 300SQM 4 Bedroom Fully Detached Duplex in Addis City Kabusa for ₦11.7M. The location boasts... ₦ 8",,,,,,,,,https://jiji.ng/kabusa/land-and-plots-for-sale/secure-a-3-bedroom-terrace-duplex-in-addis-city-kabusa-BDaqvgyq41sigI3fpOkkTVXj.html,jiji.ng,2025-10-05 14:42:47,"6.4550575,3.3941795",2661fd277185476a6a38ce240cce66ca026128b6fd79ac01ffa43e331b5b095d
"₦ 11,700,000 Outright Price Secure a Fully Detached Duplex in Kabusa This 300SQM 4 Bedroom Fully Detached Duplex in Addis City Kabusa is priced at ₦11.7M. With",11700000,39000,2925000,Lekki,,,4,,,1,300 sqm,C of O,"₦ 11,700,000 Outright Price Secure a Fully Detached Duplex in Kabusa This 300SQM 4 Bedroom Fully Detached Duplex in Addis City Kabusa is priced at ₦11.7M. With road... ₦ 150,000,000 Governors Concent A very 4 bedroom with bq semi detached duplex located in lekki palmcity estate, 
This house is in a... 500 sqm ₦ 150,000,000 Outright Price Land for Joint Venture (Jv) [R of O] Land available for a Joint Venture. 
5000sqm residential land in Lugbe.
R of O document ( C of O in... ₦ 9,750,000 Outright Price 4 Bedroom Semi-Detached Duplex in Kabusa – Great Deal Priced at just ₦7.5M, this 250SQM 4 Bedroom Semi-Detached Duplex in Addis City Kabusa is a prime... ₦ 195,000,000 Commercial Property This property is located at agodi gate junction just by the roundabout... It is called Sabiologun... 400 sqm ₦ 1,800,000 Functional Shop for Sale at Absu Uturu School Park 12/12 feet functioning shop Located in the very busy ABIA STATE UNIVERSITY School Park.
BENEFITS:
*... 126 sqm ₦ 10,000,000 Outright",,,,,,,,,https://jiji.ng/kabusa/land-and-plots-for-sale/secure-a-fully-detached-duplex-in-kabusa-pOkwcOmmmQMvEmePNkzC8CD8.html,jiji.ng,2025-10-05 14:42:47,"6.4711251,3.8147504",ac657499355246dbda96fccb64c748673643e6f3cde76eae989a7e4f8db03483
"₦ 11,700,000 Outright Price Secure a Fully Detached Duplex in Kabusa This 300SQM 4 Bedroom Fully Detached Duplex in Addis City Kabusa is priced at ₦11.7M. With",11700000,39000,2925000,Lekki,,,4,,,1,300 sqm,C of O,"₦ 11,700,000 Outright Price Secure a Fully Detached Duplex in Kabusa This 300SQM 4 Bedroom Fully Detached Duplex in Addis City Kabusa is priced at ₦11.7M. With road... ₦ 150,000,000 Governors Concent A very 4 bedroom with bq semi detached duplex located in lekki palmcity estate, 
This house is in a... 500 sqm ₦ 150,000,000 Outright Price Land for Joint Venture (Jv) [R of O] Land available for a Joint Venture. 
5000sqm residential land in Lugbe.
R of O document ( C of O in... ₦ 9,750,000 Outright Price 4 Bedroom Semi-Detached Duplex in Kabusa – Great Deal Priced at just ₦7.5M, this 250SQM 4 Bedroom Semi-Detached Duplex in Addis City Kabusa is a prime... ₦ 195,000,000 Commercial Property This property is located at agodi gate junction just by the roundabout... It is called Sabiologun... 400 sqm ₦ 1,800,000 Functional Shop for Sale at Absu Uturu School Park 12/12 feet functioning shop Located in the very busy ABIA STATE UNIVERSITY School Park.
BENEFITS:
*... 126 sqm ₦ 10,000,000 Outright",,,,,,,,,https://jiji.ng/kabusa/land-and-plots-for-sale/secure-a-fully-detached-duplex-in-kabusa-pOkwcOmmmQMvEmePNkzC8CD8.html,jiji.ng,2025-10-05 14:42:47,"6.4711251,3.8147504",ac657499355246dbda96fccb64c748673643e6f3cde76eae989a7e4f8db03483
"₦ 4,000,000 Outright Price 50/100 . Buy and Thanks Me Later 50/100 very legit deal of transfer on the document",400000050,800000,133333350,Lagos,,,3,,,0,500 sqm,,"₦ 4,000,000 Outright Price 50/100 . Buy and Thanks Me Later 50/100 very legit deal of transfer on the document ₦ 160,000 per annum Furnished 1bdrm Apartment in Uyo for rent Self-contained to let at water board itam, Uyo supplied with steady light ₦ 850,000 per annum 1bdrm Room & Parlour in Epe for rent Good location and electricity supply area in Epe Lagos state for rent with solar light
After first... ₦ 5,000,000 3 Bedrooms Bungalow Office Space With at Adeyi Avenue Old Bodija 3 bedrooms detached bungalow office space with modern facilities and a security house at adeyi... Unfurnished 500 sqm ₦ 85,000,000 2bdrm House in Sunray Estate, Awka for sale Block of Flats for Sale – Direct from Owner!
We're offering this house for sale inside Sunray... 500 sqm 2 bedrooms ₦ 180,000 per day Tastefully Furnished 3bedrooms Exquisitely Furnished 2/3 Bedroom Apartment 
Jahi Abuja
Features;
- Free WiFi 
- ⁠Netflix/ prime... ₦ 13,000,000 Outright Price Landing Property A plot of land which has an unco",,,,,,,,,https://jiji.ng/oredo/land-and-plots-for-sale/50-100-buy-and-thanks-me-later-nBhT5bvrTlOxGD0wNMA0AjfC.html,jiji.ng,2025-10-05 14:42:47,"6.4550575,3.3941795",39f20680191e294cc63865c5213e432f61cf839c6da974a3ed14a884c9b512f8
"₦ 4,000,000 Outright Price 50/100 . Buy and Thanks Me Later 50/100 very legit deal of transfer on the document",400000050,800000,133333350,Lagos,,,3,,,0,500 sqm,,"₦ 4,000,000 Outright Price 50/100 . Buy and Thanks Me Later 50/100 very legit deal of transfer on the document ₦ 160,000 per annum Furnished 1bdrm Apartment in Uyo for rent Self-contained to let at water board itam, Uyo supplied with steady light ₦ 850,000 per annum 1bdrm Room & Parlour in Epe for rent Good location and electricity supply area in Epe Lagos state for rent with solar light
After first... ₦ 5,000,000 3 Bedrooms Bungalow Office Space With at Adeyi Avenue Old Bodija 3 bedrooms detached bungalow office space with modern facilities and a security house at adeyi... Unfurnished 500 sqm ₦ 85,000,000 2bdrm House in Sunray Estate, Awka for sale Block of Flats for Sale – Direct from Owner!
We're offering this house for sale inside Sunray... 500 sqm 2 bedrooms ₦ 180,000 per day Tastefully Furnished 3bedrooms Exquisitely Furnished 2/3 Bedroom Apartment 
Jahi Abuja
Features;
- Free WiFi 
- ⁠Netflix/ prime... ₦ 13,000,000 Outright Price Landing Property A plot of land which has an unco",,,,,,,,,https://jiji.ng/oredo/land-and-plots-for-sale/50-100-buy-and-thanks-me-later-nBhT5bvrTlOxGD0wNMA0AjfC.html,jiji.ng,2025-10-05 14:42:47,"6.4550575,3.3941795",39f20680191e294cc63865c5213e432f61cf839c6da974a3ed14a884c9b512f8
"₦ 2,000,000 per annum 2bdrm Block of Flats in Ishaga Street, Berger for rent Well structured and conducive apartment",20000002000000000,153846169230769,6666667333333333,Lagos,,,3,,,0,130 sqm,,"₦ 2,000,000 per annum 2bdrm Block of Flats in Ishaga Street, Berger for rent Well structured and conducive apartment ENTERPRISE ₦ 390,000,000 3 Bedroom Ikoyi Waterfront Apartment Riviera Vista is a premium waterfront development consisting of:
- 2-bed (of 130sqm each)
- 3-bed... ₦ 3,000,000 Outright Price 600 SQM Residential Land for Sale in Ibeju Lagos 600 SQM land at Odeomi abakeeta community salvation gardens Ibeju lekki. Watch video : ₦ 7,000,000 Outright Price Land Measure 100by200 for Sale Plot measure100ft by 200ft for sale in airport road extension after ulemo, okpebor /evborohun... DIAMOND ₦ 62,000,000 4bdrm Block of Flats in Ikorodu for sale Welly build 4 units of room and parlor self contain and uncompleted 5 units of room and parlor self... 450 sqm 4 bedrooms ₦ 1,500,000 per month Furnished 2 Bedroom Apartment Katampe Main by Maitama It’s a private property and parties and noice are not allowed please. 
We need a working class or a... ₦ 35,000,000 550sqm Land for Sale in Pe",,,,,,,,,https://jiji.ng/berger/houses-apartments-for-rent/2bdrm-block-of-flats-in-ishaga-street-berger-for-rent-hwlaYpV1lkIF3LieElm4UIGy.html,jiji.ng,2025-10-05 14:42:47,"6.4550575,3.3941795",c7a18d854beb50fe60a38ac472383f70161c0cace6e06d2e310d7c6cca60babc
"₦ 2,000,000 per annum 2bdrm Block of Flats in Ishaga Street, Berger for rent Well structured and conducive apartment",20000002000000000,153846169230769,6666667333333333,Lagos,,,3,,,0,130 sqm,,"₦ 2,000,000 per annum 2bdrm Block of Flats in Ishaga Street, Berger for rent Well structured and conducive apartment ENTERPRISE ₦ 390,000,000 3 Bedroom Ikoyi Waterfront Apartment Riviera Vista is a premium waterfront development consisting of:
- 2-bed (of 130sqm each)
- 3-bed... ₦ 3,000,000 Outright Price 600 SQM Residential Land for Sale in Ibeju Lagos 600 SQM land at Odeomi abakeeta community salvation gardens Ibeju lekki. Watch video : ₦ 7,000,000 Outright Price Land Measure 100by200 for Sale Plot measure100ft by 200ft for sale in airport road extension after ulemo, okpebor /evborohun... DIAMOND ₦ 62,000,000 4bdrm Block of Flats in Ikorodu for sale Welly build 4 units of room and parlor self contain and uncompleted 5 units of room and parlor self... 450 sqm 4 bedrooms ₦ 1,500,000 per month Furnished 2 Bedroom Apartment Katampe Main by Maitama It’s a private property and parties and noice are not allowed please. 
We need a working class or a... ₦ 35,000,000 550sqm Land for Sale in Pe",,,,,,,,,https://jiji.ng/berger/houses-apartments-for-rent/2bdrm-block-of-flats-in-ishaga-street-berger-for-rent-hwlaYpV1lkIF3LieElm4UIGy.html,jiji.ng,2025-10-05 14:42:47,"6.4550575,3.3941795",c7a18d854beb50fe60a38ac472383f70161c0cace6e06d2e310d7c6cca60babc
