title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
"Fantastic 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki",340000000000000,,68000000000000,Lagos,,,5,,5,1,,,"Your One Stop Shop for All Real Estate Solutions Get everything you need to Rent - Buy - Sell or Manage your Properties in one Platform. Partner with Us every step of the way. Start Your Journey NOW! Featured Properties Fantastic 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki Lekki , Lagos Price ₦340,000,000 Images Category For Sale 10 Features Bathrooms 5 Bedrooms 5 Toilets 6 Featured Listed on Tuesday, August 19, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale Fantastic 5 Bedroom Fully Detached Duplex with Bq at Agungi,Lagos Lekki , Lagos Price ₦270,000,000 Images Category For Sale 9 Features Bathrooms 5 Bedrooms 5 Toilets 6 Featured Listed on Tuesday, August 12, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale Brand New 4 Bedroom Fully Detached Duplex Located at Orchid, Lekki Lekki , Lagos Price ₦280,000,000 Images Category For Sale 9 Features Bathrooms 4 Bedrooms 4 Toilets 5 Fe",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/fantastic-5-bedroom-fully-detached-duplex-bq-ajahlekki-1,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",af5892b8263a87136d593c9e41a97161cdee569a5935c387d8314be48c7edd99
"Fantastic 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki",340000000000000,,68000000000000,Lagos,,,5,,5,1,,,"Fantastic 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki Lekki , Lagos Price ₦340,000,000 Images Category For Sale 10 Features Bathrooms 5 Bedrooms 5 Toilets 6 Featured Listed on Tuesday, August 19, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/fantastic-5-bedroom-fully-detached-duplex-bq-ajahlekki-1,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",af5892b8263a87136d593c9e41a97161cdee569a5935c387d8314be48c7edd99
"Fantastic 5 Bedroom Fully Detached Duplex with Bq at Agungi,Lagos",270000000000000,,54000000000000,Lagos,,,5,,5,1,,,"Fantastic 5 Bedroom Fully Detached Duplex with Bq at Agungi,Lagos Lekki , Lagos Price ₦270,000,000 Images Category For Sale 9 Features Bathrooms 5 Bedrooms 5 Toilets 6 Featured Listed on Tuesday, August 12, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/fantastic-5-bedroom-fully-detached-duplex-bq-agungilagos,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",4d445c68015afdb5d56b469261a913dde6504e8bcfb0c96ee2dd575f7bdcd2fd
"Brand New 4 Bedroom Fully Detached Duplex Located at Orchid, Lekki",280000000000000,,70000000000000,Lagos,,,4,,4,0,,,"Brand New 4 Bedroom Fully Detached Duplex Located at Orchid, Lekki Lekki , Lagos Price ₦280,000,000 Images Category For Sale 9 Features Bathrooms 4 Bedrooms 4 Toilets 5 Featured Listed on Monday, August 11, 2025 under Detached Duplex , Houses Property Description 4 Bedroom Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/brand-new-4-bedroom-fully-detached-duplex-located-orchid-lekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",0d05b500527ad58e4e2ef9a42810af386c5bb83f0eb37bd9dcfa2d51259d8551
"Lovely 4 Bedroom Semi Detached Duplex Located at Orchid, Lekki",195000000000000,,48750000000000,Lagos,,,4,,4,0,,,"Lovely 4 Bedroom Semi Detached Duplex Located at Orchid, Lekki Lekki , Lagos Price ₦195,000,000 Images Category For Sale 9 Features Bathrooms 4 Bedrooms 4 Toilets 5 Featured Listed on Monday, August 11, 2025 under Houses , Semi Detached Duplex Property Description 4 Bedroom Semi Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/lovely-4-bedroom-semi-detached-duplex-located-orchid-lekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",d81d7b543bfa3dd7933fac584d214996fc865e9d60ebf4d841e3217cb7a051fe
"Self Serviced 4 Bedroom Semi Detached Duplex with Bq at Chevron, Lekki",15000000000000,,3750000000000,Lagos,,,4,,4,1,,,"Self Serviced 4 Bedroom Semi Detached Duplex with Bq at Chevron, Lekki Lekki , Lagos Price ₦15,000,000 Images Category For Rent 8 Features Bathrooms 4 Bedrooms 4 Toilets 5 Featured Listed on Monday, August 11, 2025 under Houses , Semi Detached Duplex Property Description 4 Bedridden Semi Detached Duplex For Rent",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/rent/self-serviced-4-bedroom-semi-detached-duplex-bq-chevron-lekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",34dd9763e944896e9e2a7f5af9494fd65ffe8e077d4fc392dac5aeadcc5c1fb6
"Contemporary 5 Bedroom Fully Detached Duplex with Bq at Chevron Toll Gate,Lekki",460000000000000,,92000000000000,Lagos,,,5,,5,1,,,"Contemporary 5 Bedroom Fully Detached Duplex with Bq at Chevron Toll Gate,Lekki Lekki , Lagos Price ₦460,000,000 Images Category For Sale 10 Features Bathrooms 5 Bedrooms 5 Toilets 6 Featured Listed on Monday, August 11, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/contemporary-5-bedroom-fully-detached-duplex-bq-chevron-toll-0,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",460c79dfe35f40fa6107d0f4dd7a0c223f7c3e4ac66b03b9c5190d681ceb0ba6
"Modernly Built 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki",300000000000000,,60000000000000,Lagos,,,5,,5,1,,,"Modernly Built 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki Lekki , Lagos Price ₦300,000,000 Images Category For Sale 9 Features Bathrooms 5 Bedrooms 5 Toilets 6 Listed on Tuesday, August 19, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/modernly-built-5-bedroom-fully-detached-duplex-bq-ajahlekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",1a81b82473984397c7da70dd467d52c068253553316726faa0326743a0b104f9
"Standard 4 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki",170000000000000,,42500000000000,Lagos,,,4,,4,1,,,"Standard 4 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki Lekki , Lagos Price ₦170,000,000 Images Category For Sale 9 Features Bathrooms 4 Bedrooms 4 Toilets 5 Listed on Tuesday, August 19, 2025 under Detached Duplex , Houses Property Description 4 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/standard-4-bedroom-fully-detached-duplex-bq-ajahlekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",ee91efaad16ec0493a8c40659089a34f2e6b7d1a007b050950e0d3e301c9aa23
"Magnificent 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki",300000000000000,,60000000000000,Lagos,,,5,,5,1,,,"Magnificent 5 Bedroom Fully Detached Duplex With Bq at Ajah,Lekki Lekki , Lagos Price ₦300,000,000 Images Category For Sale 10 Features Bathrooms 5 Bedrooms 5 Toilets 6 Listed on Tuesday, August 19, 2025 under Detached Duplex , Houses Property Description 5 Bedroom Fully Detached Duplex For Sale",,,,,,,,,https://www.landmall.ng/properties/lagos/eti-osa/lekki/sale/magnificent-5-bedroom-fully-detached-duplex-bq-ajahlekki,www.landmall.ng,2025-08-21 16:28:43,"6.4550575,3.3941795",a0e53073fe579bfc68fd3b5700af143c1151cd1e2c94c7ec86685602cd98a48d
