title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
For Sale,1000000000,193911,,Lagos,,,,,,0,5157 sqm,C of O,"For Sale Hot ₦1,000,000,000/Outright For Sale Hot A 5157 sqm Commercial land with C of O at Kaura District Abuja ₦1,000,000,000/Outright Kuara District Abuja, Kaura (Abuja), FCT - Abuja 5157 Square Metres Commercial Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦350,000,000/Outright For Sale Hot Prime Plot in Jahi, Abuja ₦350,000,000/Outright JAHI ABUJA, Jahi, FCT - Abuja 1014.45 Square Metres Residential Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦2,100,000,000/Outright For Sale Hot 3615 SQM bare commercial land in Yaba, Lagos ₦2,100,000,000/Outright Edmond Crecent, Surulere (Lagos), Lagos 3615 Square Metres Commercial Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦250,000,000/Per Plot For Sale Hot Business Plots In Omole Lagos ₦250,000,000/Per Plot Omole Phase II, KOSOFE LOCAL GOVERNMENT AREA, LAGOS, Kosofe, Lagos 500 Square Metres L",,,,,,,,,https://land.ng/status/for-sale/,land.ng,2025-08-21 14:11:51,"6.4550575,3.3941795",2d5975f965d00ea3a57fd689c95ba02cb45e49ae43c91fc534d6c3d03b6d71f7
For Sale,1000000000,193911,,Lagos,,,,,,0,5157 sqm,C of O,"For Sale Hot ₦1,000,000,000/Outright For Sale Hot A 5157 sqm Commercial land with C of O at Kaura District Abuja ₦1,000,000,000/Outright Kuara District Abuja, Kaura (Abuja), FCT - Abuja 5157 Square Metres Commercial Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦350,000,000/Outright For Sale Hot Prime Plot in Jahi, Abuja ₦350,000,000/Outright JAHI ABUJA, Jahi, FCT - Abuja 1014.45 Square Metres Residential Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦2,100,000,000/Outright For Sale Hot 3615 SQM bare commercial land in Yaba, Lagos ₦2,100,000,000/Outright Edmond Crecent, Surulere (Lagos), Lagos 3615 Square Metres Commercial Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦250,000,000/Per Plot For Sale Hot Business Plots In Omole Lagos ₦250,000,000/Per Plot Omole Phase II, KOSOFE LOCAL GOVERNMENT AREA, LAGOS, Kosofe, Lagos 500 Square Metres L",,,,,,,,,https://land.ng/status/for-sale/,land.ng,2025-08-21 14:11:51,"6.4550575,3.3941795",2d5975f965d00ea3a57fd689c95ba02cb45e49ae43c91fc534d6c3d03b6d71f7
For Sale,1000000000,193911,,Lagos,,,,,,0,5157 sqm,C of O,"For Sale Hot ₦1,000,000,000/Outright For Sale Hot A 5157 sqm Commercial land with C of O at Kaura District Abuja ₦1,000,000,000/Outright Kuara District Abuja, Kaura (Abuja), FCT - Abuja 5157 Square Metres Commercial Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦350,000,000/Outright For Sale Hot Prime Plot in Jahi, Abuja ₦350,000,000/Outright JAHI ABUJA, Jahi, FCT - Abuja 1014.45 Square Metres Residential Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦2,100,000,000/Outright For Sale Hot 3615 SQM bare commercial land in Yaba, Lagos ₦2,100,000,000/Outright Edmond Crecent, Surulere (Lagos), Lagos 3615 Square Metres Commercial Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦250,000,000/Per Plot For Sale Hot Business Plots In Omole Lagos ₦250,000,000/Per Plot Omole Phase II, KOSOFE LOCAL GOVERNMENT AREA, LAGOS, Kosofe, Lagos 500 Square Metres L",,,,,,,,,https://land.ng/status/for-sale/,land.ng,2025-08-21 14:11:51,"6.4550575,3.3941795",2d5975f965d00ea3a57fd689c95ba02cb45e49ae43c91fc534d6c3d03b6d71f7
For Sale,2100000000,580912,,Lagos,,,,,,0,3615 sqm,,"For Sale Hot ₦2,100,000,000/Outright For Sale Hot 3615 SQM bare commercial land in Yaba, Lagos ₦2,100,000,000/Outright Edmond Crecent, Surulere (Lagos), Lagos 3615 Square Metres Commercial Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago",,,,,,,,,https://land.ng/status/for-sale/,land.ng,2025-08-21 14:11:51,"6.4550575,3.3941795",a8a06e7bb5775a2cf285f12ab2f71d63fc84ae5da7a9eccece41525657a35646
For Sale,250000000,,,Lagos,,,,,,0,,,"For Sale Hot ₦250,000,000/Per Plot For Sale Hot Business Plots In Omole Lagos ₦250,000,000/Per Plot Omole Phase II, KOSOFE LOCAL GOVERNMENT AREA, LAGOS, Kosofe, Lagos 500 Square Metres Land Banking, Mixed-Use Land, Residential Land Lawrence Afolabi 3 days ago Lawrence Afolabi 3 days ago",,,,,,,,,https://land.ng/status/for-sale/,land.ng,2025-08-21 14:11:51,"6.4550575,3.3941795",842d253e35d1187fae8dd7f3bc02a981668772888967aacab0369171dd469f80
For Sale,500000000,83333333,,Lagos,,,,,,0,006 sqm,,"For Sale Hot ₦500,000,000/Outright For Sale Hot Prime 2,006 SQM Land for Sale on Alpha Beach Road, Lekki. ₦500,000,000/Outright Alpha Beach, Ibeju-Lekki, Lagos 2006 Square Metres Mixed-Use Land TECH VIVID GLOBAL SERVICE’S 1 week ago TECH VIVID GLOBAL SERVICE’S 1 week ago",,,,,,,,,https://land.ng/status/for-sale/,land.ng,2025-08-21 14:11:51,"6.4550575,3.3941795",259dd6dc9e37af7aa7ead08fb0a0a3b086ed8a85ce019f63698123cb38c64d10
For Sale,145000000,,,Lagos,,,,,,0,,,"For Sale Distress ₦145,000,000/Outright For Sale Distress 1,251.379 Square Meters In Ikeja, Lagos ₦145,000,000/Outright Oregun, Ikeja, Lagos 1251 Square Metres Mixed-Use Land TECH VIVID GLOBAL SERVICE’S 1 week ago TECH VIVID GLOBAL SERVICE’S 1 week ago",,,,,,,,,https://land.ng/status/for-sale/,land.ng,2025-08-21 14:11:51,"6.4550575,3.3941795",eae3ac46024375711cc0ec8c34b8a5b1c34c23f6cb743624ba0fd2b0ce5866d6
Land for Sale in Lagos,,,,Lagos,,,,,,0,,,Land for Sale in Lagos,,,,,,,,,https://land.ng/state/lagos/,land.ng,2025-08-21 14:11:51,"6.4550575,3.3941795",67eeae0d6b28761e89fb31e7930a1791fc564a13caeece4a74cf20a295deb516
For Sale,1000000000,193911,,Lagos,,,,,,0,5157 sqm,C of O,"For Sale Hot ₦1,000,000,000/Outright For Sale Hot A 5157 sqm Commercial land with C of O at Kaura District Abuja ₦1,000,000,000/Outright Kuara District Abuja, Kaura (Abuja), FCT - Abuja 5157 Square Metres Commercial Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦350,000,000/Outright For Sale Hot Prime Plot in Jahi, Abuja ₦350,000,000/Outright JAHI ABUJA, Jahi, FCT - Abuja 1014.45 Square Metres Residential Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦2,100,000,000/Outright For Sale Hot 3615 SQM bare commercial land in Yaba, Lagos ₦2,100,000,000/Outright Edmond Crecent, Surulere (Lagos), Lagos 3615 Square Metres Commercial Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦250,000,000/Per Plot For Sale Hot Business Plots In Omole Lagos ₦250,000,000/Per Plot Omole Phase II, KOSOFE LOCAL GOVERNMENT AREA, LAGOS, Kosofe, Lagos 500 Square Metres L",,,,,,,,,https://land.ng/status/for-sale/,land.ng,2025-08-21 14:11:51,"6.4550575,3.3941795",2d5975f965d00ea3a57fd689c95ba02cb45e49ae43c91fc534d6c3d03b6d71f7
For Sale,1000000000,193911,,Lagos,,,,,,0,5157 sqm,C of O,"For Sale Hot ₦1,000,000,000/Outright For Sale Hot A 5157 sqm Commercial land with C of O at Kaura District Abuja ₦1,000,000,000/Outright Kuara District Abuja, Kaura (Abuja), FCT - Abuja 5157 Square Metres Commercial Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦350,000,000/Outright For Sale Hot Prime Plot in Jahi, Abuja ₦350,000,000/Outright JAHI ABUJA, Jahi, FCT - Abuja 1014.45 Square Metres Residential Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦2,100,000,000/Outright For Sale Hot 3615 SQM bare commercial land in Yaba, Lagos ₦2,100,000,000/Outright Edmond Crecent, Surulere (Lagos), Lagos 3615 Square Metres Commercial Land TECH VIVID GLOBAL SERVICE’S 3 days ago TECH VIVID GLOBAL SERVICE’S 3 days ago For Sale Hot ₦250,000,000/Per Plot For Sale Hot Business Plots In Omole Lagos ₦250,000,000/Per Plot Omole Phase II, KOSOFE LOCAL GOVERNMENT AREA, LAGOS, Kosofe, Lagos 500 Square Metres L",,,,,,,,,https://land.ng/status/for-sale/,land.ng,2025-08-21 14:11:51,"6.4550575,3.3941795",2d5975f965d00ea3a57fd689c95ba02cb45e49ae43c91fc534d6c3d03b6d71f7
