title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Property Listings,,,,Lagos,,,,,,0,,,Property Listings Lands For Sale in Nigeria Houses For Sale in Nigeria Lands for Sale in Lagos Houses for Sale in Lagos Houses for Sale in Lekki Houses for Sale in Abuja Lands for Sale in Abuja Business & Event Centers Apartment Houses For Rent Recently Added Listings,,,,,,,,,https://naijalandlord.com/all-listings/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",22492803757f6040e7026ffd1fa6cd6314df070231143aae2bfd077b11c9ee54
Lands for Sale in Lagos,,,,Lagos,,,,,,0,,,Lands for Sale in Lagos,,,,,,,,,https://naijalandlord.com/lands-for-sale-in-lagos-nigeria-prices-of-lands-in-lagos/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",3447a4b6b5a93bc94d487a6aba49c7a37ae12fcc7c9716f4e3ede34114220921
Houses for Sale in Lagos,,,,Lagos,,,,,,0,,,Houses for Sale in Lagos Houses for Sale in Lekki,,,,,,,,,https://naijalandlord.com/house-for-sale-in-lagos-nigeria/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",c6bc0ebf2a18b9e4ecc317ebd6d242373ab6222abfa64ca306291fc784c5a760
Houses for Sale in Lekki,,,,Lekki,,,,,,0,,,Houses for Sale in Lekki,,,,,,,,,https://naijalandlord.com/houses-for-sale-in-lekki/,naijalandlord.com,2025-08-21 15:04:42,"6.4711251,3.8147504",c66a3cdb4808502ab659a45b34af56e5d6120f5f66c40b2a81ba42e12e7080b7
Property Listings,,,,Lagos,,,,,,0,,,Property Listings Lands For Sale in Nigeria Houses For Sale in Nigeria Lands for Sale in Lagos Houses for Sale in Lagos Houses for Sale in Lekki Houses for Sale in Abuja Lands for Sale in Abuja Business & Event Centers Apartment Houses For Rent Recently Added Listings,,,,,,,,,https://naijalandlord.com/all-listings/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",22492803757f6040e7026ffd1fa6cd6314df070231143aae2bfd077b11c9ee54
Lands for Sale in Lagos,,,,Lagos,,,,,,0,,,Lands for Sale in Lagos,,,,,,,,,https://naijalandlord.com/lands-for-sale-in-lagos-nigeria-prices-of-lands-in-lagos/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",3447a4b6b5a93bc94d487a6aba49c7a37ae12fcc7c9716f4e3ede34114220921
Houses for Sale in Lagos,,,,Lagos,,,,,,0,,,Houses for Sale in Lagos Houses for Sale in Lekki,,,,,,,,,https://naijalandlord.com/house-for-sale-in-lagos-nigeria/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",c6bc0ebf2a18b9e4ecc317ebd6d242373ab6222abfa64ca306291fc784c5a760
Houses for Sale in Lekki,,,,Lekki,,,,,,0,,,Houses for Sale in Lekki,,,,,,,,,https://naijalandlord.com/houses-for-sale-in-lekki/,naijalandlord.com,2025-08-21 15:04:42,"6.4711251,3.8147504",c66a3cdb4808502ab659a45b34af56e5d6120f5f66c40b2a81ba42e12e7080b7
For Sale,500000000000,,,Lagos,,,,,,0,,,"Featured For Sale ₦500,000 For Sale Farmland Located At Ogun State For Five Hundred Thousand Per Plot ₦500,000 Ogunmakin Village, Ogunmakin Village, Ogun Farmland located at Ogun state for 500 thousand per plot Family... ID: NL-51086 Availabilty: Available Land Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago Featured For Sale ₦9,000,000 For Sale Alpha Royal Court Location Ibeju Agbe Town, Ibejulekki A Prime, Highvalue Investmen ₦9,000,000 Lekki, Lagos, Lagos ALPHA ROYAL COURT        Location: Ibeju Agbe Town, Ibeju-Lekki... ID: NL-51232 Availabilty: Available Land Details Naijalandlord 2 weeks ago Naijalandlord 2 weeks ago Featured For Sale ₦12,500,000 For Sale Alphamark Prime Prelaunch A Golden Opportunity Are You Ready To Unleash Your Inner Real E ₦12,500,000 Lekki, Lagos, Lagos ALPHAMARK PRIME PRE-LAUNCH A GOLDEN OPPORTUNITY:         Are you ready to unleash... ID: NL-51238 Availabilty: Available Land Details Naijalandlord 2 weeks ago Naijalandlord 2 weeks ago Do You Wan",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",a6ac2921e2903815059c0cdfde2182f7d64a73ae7b539c0bd754cbbce2898cb1
For Sale,500000000000,,,Lagos,,,,,,0,,,"Featured For Sale ₦500,000 For Sale Farmland Located At Ogun State For Five Hundred Thousand Per Plot ₦500,000 Ogunmakin Village, Ogunmakin Village, Ogun Farmland located at Ogun state for 500 thousand per plot Family... ID: NL-51086 Availabilty: Available Land Details Naijalandlord 3 weeks ago Naijalandlord 3 weeks ago Featured For Sale ₦9,000,000 For Sale Alpha Royal Court Location Ibeju Agbe Town, Ibejulekki A Prime, Highvalue Investmen ₦9,000,000 Lekki, Lagos, Lagos ALPHA ROYAL COURT        Location: Ibeju Agbe Town, Ibeju-Lekki... ID: NL-51232 Availabilty: Available Land Details Naijalandlord 2 weeks ago Naijalandlord 2 weeks ago Featured For Sale ₦12,500,000 For Sale Alphamark Prime Prelaunch A Golden Opportunity Are You Ready To Unleash Your Inner Real E ₦12,500,000 Lekki, Lagos, Lagos ALPHAMARK PRIME PRE-LAUNCH A GOLDEN OPPORTUNITY:         Are you ready to unleash... ID: NL-51238 Availabilty: Available Land Details Naijalandlord 2 weeks ago Naijalandlord 2 weeks ago Do You Wan",,,,,,,,,https://naijalandlord.com/status/for-sale/,naijalandlord.com,2025-08-21 15:04:42,"6.4550575,3.3941795",a6ac2921e2903815059c0cdfde2182f7d64a73ae7b539c0bd754cbbce2898cb1
