title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Reke Ogbondoroko,130000002000000,216666670000,65000001000000,Lagos,,,2,,,0,600 sqm,,"Latest Posts 3 Reke Ogbondoroko , Ilorin Sales distressed sale 2 bedroom apartment ₦ 13,000,000 2 bedroom apartment on one plo ... 2 bedroom apartment on one plot of land with full pop, prepaid meter, borehole water and half fenced ... 2 3 50 ft 2 details BELLO OLUKOYA MURIANOH 4 Mojoda Bustop , Epe Sales distressed sale A full plot of land situated a... ₦ 3,500,000 Location LGA: Eredo Epe, Lagos ... Location LGA: Eredo Epe, Lagos State. Plot Size: 600sqm Documents includes:- Registered Survey Plan, ... 600 ft 2 details Ibrahim Olaoye load more listings",,,,,,,,,https://nigerianpropertymarket.com/property_area/reke-ogbondoroko/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",b68afb62cab6a77ada7286b3e017286580e929e41a26abe2e1a0bde278fab999
Mojoda Bustop,3500000,5833,,Lagos,,,,,,0,600 sqm,,"4 Mojoda Bustop , Epe Sales distressed sale A full plot of land situated a... ₦ 3,500,000 Location LGA: Eredo Epe, Lagos ... Location LGA: Eredo Epe, Lagos State. Plot Size: 600sqm Documents includes:- Registered Survey Plan, ... 600 ft 2 details Ibrahim Olaoye",,,,,,,,,https://nigerianpropertymarket.com/property_area/mojoda-bustop/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",0a53fdc1a724441eb9b02f099377bc8b80d214429c75b147ae829fbd31e8db7b
Mojoda Bustop,3500000,5833,,Lagos,,,,,,0,600 sqm,,"4 Mojoda Bustop , Epe Sales distressed sale A full plot of land situated a... ₦ 3,500,000 Location LGA: Eredo Epe, Lagos ... Location LGA: Eredo Epe, Lagos State. Plot Size: 600sqm Documents includes:- Registered Survey Plan, ... 600 ft 2 details Ibrahim Olaoye",,,,,,,,,https://nigerianpropertymarket.com/property_area/mojoda-bustop/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",0a53fdc1a724441eb9b02f099377bc8b80d214429c75b147ae829fbd31e8db7b
A full plot of land situated a...,3500000,5833,,Lagos,,,,,,0,600 sqm,,"A full plot of land situated a... ₦ 3,500,000 Location LGA: Eredo Epe, Lagos ... Location LGA: Eredo Epe, Lagos State. Plot Size: 600sqm Documents includes:- Registered Survey Plan, ... 600 ft 2 details Ibrahim Olaoye",,,,,,,,,https://nigerianpropertymarket.com/estate_property/a-full-plot-of-land-situated-at-kajola-area-off-odogbawojo-available-for-sale/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",3f2d5d63692c2184b252710f8effd38c256e25e0eff87cc7cafc287578f65d5d
...,,,,Lagos,,,,,,0,,,"Location LGA: Eredo Epe, Lagos ...",,,,,,,,,https://nigerianpropertymarket.com/estate_property/a-full-plot-of-land-situated-at-kajola-area-off-odogbawojo-available-for-sale/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",557bf8c29b7ffd2a962a6c77e290a3630d387467419acf6177e80e9fa3f6fca1
...,,,,Lagos,,,,,,0,600 sqm,,"Location LGA: Eredo Epe, Lagos State. Plot Size: 600sqm Documents includes:- Registered Survey Plan, ...",,,,,,,,,https://nigerianpropertymarket.com/estate_property/a-full-plot-of-land-situated-at-kajola-area-off-odogbawojo-available-for-sale/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",557bf8c29b7ffd2a962a6c77e290a3630d387467419acf6177e80e9fa3f6fca1
Nigerian Property Market,,,,Lagos,,,,,,0,,,"CONTACT US 1400 Tiamiyu Savage Street, Victoria Island, Lagos Nigeria Nigerian Property Market",,,,,,,,,https://nigerianpropertymarket.com/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",bca50de9222ed404402c0ec4bf43f5ef624f0b6ee912735b6d98e4720fb09666
"Victoria island, Lagos",,,,Lagos,,,,,,0,,,"POPULAR AREAS Victoria island, Lagos Ikoyi, Lagos FCT, Abuja Lekki, Lagos Port Harcourt",,,,,,,,,https://nigerianpropertymarket.com/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",dc5aea268542269ca73070b29028a8ad0346851a3130ae9f00e504f79def9a92
"Victoria island, Lagos",,,,Lagos,,,,,,0,,,"Victoria island, Lagos",,,,,,,,,https://nigerianpropertymarket.com/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",dc5aea268542269ca73070b29028a8ad0346851a3130ae9f00e504f79def9a92
"Ikoyi, Lagos",,,,Lagos,,,,,,0,,,"Ikoyi, Lagos",,,,,,,,,https://nigerianpropertymarket.com/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",89c448dabff7f8612aa31e9c5fd15491ee1a17f5bd5df7e78a3c051d93971f7d
"Lekki, Lagos",,,,Lagos,,,,,,0,,,"Lekki, Lagos",,,,,,,,,https://nigerianpropertymarket.com/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",1f1523b811b426459f7706ae79a0de0c9c1b2b0e98d304d5dd17ef861bb77149
Reke Ogbondoroko,130000002000000,216666670000,65000001000000,Lagos,,,2,,,0,600 sqm,,"Latest Posts 3 Reke Ogbondoroko , Ilorin Sales distressed sale 2 bedroom apartment ₦ 13,000,000 2 bedroom apartment on one plo ... 2 bedroom apartment on one plot of land with full pop, prepaid meter, borehole water and half fenced ... 2 3 50 ft 2 details BELLO OLUKOYA MURIANOH 4 Mojoda Bustop , Epe Sales distressed sale A full plot of land situated a... ₦ 3,500,000 Location LGA: Eredo Epe, Lagos ... Location LGA: Eredo Epe, Lagos State. Plot Size: 600sqm Documents includes:- Registered Survey Plan, ... 600 ft 2 details Ibrahim Olaoye load more listings",,,,,,,,,https://nigerianpropertymarket.com/property_area/reke-ogbondoroko/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",b68afb62cab6a77ada7286b3e017286580e929e41a26abe2e1a0bde278fab999
Mojoda Bustop,3500000,5833,,Lagos,,,,,,0,600 sqm,,"4 Mojoda Bustop , Epe Sales distressed sale A full plot of land situated a... ₦ 3,500,000 Location LGA: Eredo Epe, Lagos ... Location LGA: Eredo Epe, Lagos State. Plot Size: 600sqm Documents includes:- Registered Survey Plan, ... 600 ft 2 details Ibrahim Olaoye",,,,,,,,,https://nigerianpropertymarket.com/property_area/mojoda-bustop/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",0a53fdc1a724441eb9b02f099377bc8b80d214429c75b147ae829fbd31e8db7b
Mojoda Bustop,3500000,5833,,Lagos,,,,,,0,600 sqm,,"4 Mojoda Bustop , Epe Sales distressed sale A full plot of land situated a... ₦ 3,500,000 Location LGA: Eredo Epe, Lagos ... Location LGA: Eredo Epe, Lagos State. Plot Size: 600sqm Documents includes:- Registered Survey Plan, ... 600 ft 2 details Ibrahim Olaoye",,,,,,,,,https://nigerianpropertymarket.com/property_area/mojoda-bustop/,nigerianpropertymarket.com,2025-08-21 12:41:26,"6.4550575,3.3941795",0a53fdc1a724441eb9b02f099377bc8b80d214429c75b147ae829fbd31e8db7b
