title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Lagos,,,,Lagos,,,,,,0,,,Lagos Agbara-Igbesa | Agege | Ajah | Alimosho | Amuwo Odofin | Apapa | Ayobo | Badagry | Egbe | Ejigbo | Eko Atlantic City | Epe | Gbagada | Ibeju | Ibeju Lekki | Idimu | Ifako-Ijaiye | Iganmu | Ijaiye | Ijede | Ijesha | Ikeja | Ikorodu | Ikotun | Ikoyi | Ilashe | Ilupeju | Ipaja | Isheri | Isheri North | Isolo | Itire | Ketu | Kosofe | Lagos Island | Lekki | Magodo | Maryland | Mushin | Ogudu | Ojo | Ojodu | Ojota | Oke-Odo | Orile | Oshodi | Shomolu | Surulere | Tarkwa Bay Island | Victoria Island (VI) | Yaba,,,,,,,,,https://nigeriapropertycentre.com/lagos,nigeriapropertycentre.com,2025-10-18 20:55:02,,15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
Agbara-Igbesa,,,,,,,,,,0,,,Agbara-Igbesa |,,,,,,,,,https://nigeriapropertycentre.com/lagos/agbara-igbesa,nigeriapropertycentre.com,2025-10-18 20:55:02,,def21b6f1776f9a86eacc621624c8d2692d3a79daf8bfc053f01ef35f438883e
Ajah,,,,Ajah,,,,,,0,,,Ajah |,,,,,,,,,https://nigeriapropertycentre.com/lagos/ajah,nigeriapropertycentre.com,2025-10-18 20:55:02,,3145e80fa13bed49151a8b871d985d2c5e59727eec3f592374ae8123159b5bd0
Epe,,,,,,,,,,0,,,Epe |,,,,,,,,,https://nigeriapropertycentre.com/lagos/epe,nigeriapropertycentre.com,2025-10-18 20:55:02,,81fc87190244c2063d034829e5f79fe5a7df157ca9a86188cfe59ac27abc3b42
Ibeju Lekki,,,,Lekki,,,,,,0,,,Ibeju Lekki |,,,,,,,,,https://nigeriapropertycentre.com/lagos/lekki-ibeju,nigeriapropertycentre.com,2025-10-18 20:55:02,,6029b93cda9b518fbe09fd12a5a0bf71a7ec37b082d4d93d8b4e110fec137096
Ikeja,,,,Ikeja,,,,,,0,,,Ikeja |,,,,,,,,,https://nigeriapropertycentre.com/lagos/ikeja,nigeriapropertycentre.com,2025-10-18 20:55:02,,410058d123ff67fd54916fedfa9a92db13937d728e4a0691ec930d7171a0b8cf
Ikoyi,,,,Ikoyi,,,,,,0,,,Ikoyi |,,,,,,,,,https://nigeriapropertycentre.com/lagos/ikoyi,nigeriapropertycentre.com,2025-10-18 20:55:02,,de05ce5cd04f849736d7c385ac5fb3e7e7688ba52919183c4a6223359b1dadc0
Ilupeju,,,,,,,,,,0,,,Ilupeju |,,,,,,,,,https://nigeriapropertycentre.com/lagos/ilupeju,nigeriapropertycentre.com,2025-10-18 20:55:02,,6dedbc2bead7db7bacc3a45901dc183a25163b55b0f78e8bc20d52b466074b94
Lagos Island,,,,Lagos,,,,,,0,,,Lagos Island |,,,,,,,,,https://nigeriapropertycentre.com/lagos/lagos-island,nigeriapropertycentre.com,2025-10-18 20:55:02,,9ed28a372745e22dcacbd3b49b6f7fbad77d89e744008db6315239640dbce07b
Lekki,,,,Lekki,,,,,,0,,,Lekki |,,,,,,,,,https://nigeriapropertycentre.com/lagos/lekki,nigeriapropertycentre.com,2025-10-18 20:55:02,,28b9151588463ad14646f872b8f1e34a75c1cfb4520d1919df13405dd3f0d345
