title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
Browse by Top Cities,,,,Lagos,,,,,,0,,,Browse by Top Cities Lagos Apartment for Sale in Lagos Apartment for Rent in Lagos Land for Sale in Lagos Duplex and Homes for Sale in Lagos Duplex and Home for Rent in Lagos Lekki Apartment for Sale in Lekki Apartment for Rent in Lekki Land for Sale in Lekki Duplex and Homes for Sale in Lekki Duplex and Home for Rent in Lekki Abuja Apartment for Rent in Abuja Search Apartment for Sale in Abuja Land for Sale in Abuja Duplex and Homes for Sale in Abuja Duplex and Home for Rent in Abuja Ikeja Apartment for Sale in Ikeja Apartment for Rent in Ikeja Land for Sale in Ikeja 2023 Duplex and Homes for Sale in Ikeja Duplex and Home for Rent in Ikeja Ibadan Apartment for Sale in Ibadan Apartment for Rent in Ibadan Land for Sale in Ibadan Duplex and Homes for Sale in Ibadan Duplex and Home for Rent in Ibadan,,,,,,,,,https://propertylisthub.com/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",aaed722af9541e2edfffa18d7b79356dd014934185574138559dd718a249d2a2
Lagos,,,,Lagos,,,,,,0,,,Lagos Apartment for Sale in Lagos Apartment for Rent in Lagos Land for Sale in Lagos Duplex and Homes for Sale in Lagos Duplex and Home for Rent in Lagos,,,,,,,,,https://propertylisthub.com/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
Apartment for Sale in Lagos,,,,Lagos,,,,,,0,,,Apartment for Sale in Lagos,,,,,,,,,https://propertylisthub.com/apartment-for-sale-in-lagos/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",0da3da2b1a4b470866e2646d08be0175856d9e8fd5107bc289da35410c1b890b
Apartment for Rent in Lagos,,,,Lagos,,,,,,0,,,Apartment for Rent in Lagos,,,,,,,,,https://propertylisthub.com/apartment-for-rent-in-lagos/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",729c68172726140a03522121f81cdfa90d9d3b60adda37b31f4cc76baf78f5c2
Land for Sale in Lagos,,,,Lagos,,,,,,0,,,Land for Sale in Lagos,,,,,,,,,https://propertylisthub.com/land-for-sale-in-lagos/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",67eeae0d6b28761e89fb31e7930a1791fc564a13caeece4a74cf20a295deb516
Duplex and Homes for Sale in Lagos,,,,Lagos,,,,,,0,,,Duplex and Homes for Sale in Lagos,,,,,,,,,https://propertylisthub.com/duplex-and-homes-for-sale-in-lagos/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",add8b479cac67216636d0531b9cc0a621b6b5a92dd0818aa4bc9ee028e96f331
Duplex and Home for Rent in Lagos,,,,Lagos,,,,,,0,,,Duplex and Home for Rent in Lagos,,,,,,,,,https://propertylisthub.com/duplex-and-home-for-rent-in-lagos/,propertylisthub.com,2025-08-21 12:54:58,"6.4550575,3.3941795",1a03b9181eb9b89b15d685d94d0e261401444a8e01c3ab8bdd946f45e17a47d0
Lekki,,,,Lekki,,,,,,0,,,Lekki Apartment for Sale in Lekki Apartment for Rent in Lekki Land for Sale in Lekki Duplex and Homes for Sale in Lekki Duplex and Home for Rent in Lekki,,,,,,,,,https://propertylisthub.com/,propertylisthub.com,2025-08-21 12:54:58,"6.4711251,3.8147504",28b9151588463ad14646f872b8f1e34a75c1cfb4520d1919df13405dd3f0d345
Apartment for Sale in Lekki,,,,Lekki,,,,,,0,,,Apartment for Sale in Lekki,,,,,,,,,https://propertylisthub.com/apartment-for-sale-in-lekki/,propertylisthub.com,2025-08-21 12:54:58,"6.4711251,3.8147504",894fd85edee432a8c1f9d43cb51252ba7175e183b8de3daa7a361312df02c37c
Apartment for Rent in Lekki,,,,Lekki,,,,,,0,,,Apartment for Rent in Lekki,,,,,,,,,https://propertylisthub.com/search-apartment-for-rent-in-lekki/,propertylisthub.com,2025-08-21 12:54:58,"6.4711251,3.8147504",32a3c1188d8e7a3259c8a1ee8d1f5a3269955ac4f89fc9ac557e5de01473c9a6
Land for Sale in Lekki,,,,Lekki,,,,,,0,,,Land for Sale in Lekki,,,,,,,,,https://propertylisthub.com/land-for-sale-in-lekki/,propertylisthub.com,2025-08-21 12:54:58,"6.4711251,3.8147504",30a59a1bd9ea147b43272f9037b90791e293168d0f61dd63f718136121dd1a31
Duplex and Homes for Sale in Lekki,,,,Lekki,,,,,,0,,,Duplex and Homes for Sale in Lekki,,,,,,,,,https://propertylisthub.com/duplex-and-homes-for-sale-in-lekki/,propertylisthub.com,2025-08-21 12:54:58,"6.4711251,3.8147504",2cfde4606dcaba611fce69c2a73c066f30a8cf14fd51f421702d5b83031724af
Duplex and Home for Rent in Lekki,,,,Lekki,,,,,,0,,,Duplex and Home for Rent in Lekki,,,,,,,,,https://propertylisthub.com/duplex-and-home-for-rent-in-lekki/,propertylisthub.com,2025-08-21 12:54:58,"6.4711251,3.8147504",717b1edee1ca13c506964697e0043db876562a171890b1959952d784aff82fae
Ikeja,,,,Ikeja,,,,,,0,,,Ikeja Apartment for Sale in Ikeja Apartment for Rent in Ikeja Land for Sale in Ikeja 2023 Duplex and Homes for Sale in Ikeja Duplex and Home for Rent in Ikeja,,,,,,,,,https://propertylisthub.com/,propertylisthub.com,2025-08-21 12:54:58,"6.5960605,3.340787",410058d123ff67fd54916fedfa9a92db13937d728e4a0691ec930d7171a0b8cf
Apartment for Sale in Ikeja,,,,Ikeja,,,,,,0,,,Apartment for Sale in Ikeja,,,,,,,,,https://propertylisthub.com/apartment-for-sale-in-ikeja/,propertylisthub.com,2025-08-21 12:54:58,"6.5960605,3.340787",11f6bafa07c012a0a140326c34f0d8cecf8c65a22bd128dc3bbe2ebb6be3c598
Apartment for Rent in Ikeja,,,,Ikeja,,,,,,0,,,Apartment for Rent in Ikeja,,,,,,,,,https://propertylisthub.com/search-apartment-for-rent-in-ikeja/,propertylisthub.com,2025-08-21 12:54:58,"6.5960605,3.340787",62730bfd3971f89920eec35768d604f17820af5d9c134d2d65fe2cf106441475
Land for Sale in Ikeja 2023,,,,Ikeja,,,,,,0,,,Land for Sale in Ikeja 2023,,,,,,,,,https://propertylisthub.com/land-for-sale-in-ikeja/,propertylisthub.com,2025-08-21 12:54:58,"6.5960605,3.340787",797ab29e8dfc5499dd34a247e74876fcff7aa77a67f857deb046ad837b403ddb
