title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
New Project,,,,Lagos,,,,,,0,,,New Project New Developments in Lagos Mainland New Developments in Lagos Island All Developments in Nigeria,,,,,,,,,https://propertypro.ng/,propertypro.ng,2025-10-19 15:58:20,"6.4550575,3.3941795",d785f685ad0d2efb83fcd6809d22a25cc2e64799a6444d783925eb3d85f04a9c
New Developments in Lagos Mainland,,,,Lagos,,,,,,0,,,New Developments in Lagos Mainland,,,,,,,,,https://propertypro.ng/new-launch-for-sale/in/lagos,propertypro.ng,2025-10-19 15:58:20,"6.4550575,3.3941795",e9b2ff8b9926d19b47ea343bcf22f4edb4da4c1d7b19edae4767181af03df026
New Developments in Lagos Island,,,,Lagos,,,,,,0,,,New Developments in Lagos Island,,,,,,,,,https://propertypro.ng/new-launch-for-sale/in/lagos/lekki,propertypro.ng,2025-10-19 15:58:20,"6.4550575,3.3941795",bd238bd7bd8a38f1d374c664b5725f18bd4af7be9e55662bf7d62d23c0b3a316
Shortlet,,,,Lagos,,,,,,0,,,Shortlet Short Let in Lekki & Environs Short Let In Lagos Short Let in Abuja All Short Lets,,,,,,,,,https://propertypro.ng/,propertypro.ng,2025-10-19 15:58:20,"6.4550575,3.3941795",03502032c40bc0060027546d6485ed72c3cd82c4f60460e34429ed115d5519b3
Short Let in Lekki & Environs,,,,Lekki,,,,,,0,,,Short Let in Lekki & Environs,,,,,,,,,https://propertypro.ng/property-for-short-let/in/lagos/lekki,propertypro.ng,2025-10-19 15:58:20,"6.4711251,3.8147504",f56438a3b1cd762d24bd20ca186c71f7a331d0add40212f4d8224654869b53b9
Short Let In Lagos,,,,Lagos,,,,,,0,,,Short Let In Lagos,,,,,,,,,https://propertypro.ng/property-for-short-let/in/lagos,propertypro.ng,2025-10-19 15:58:20,"6.4550575,3.3941795",3fa9741f030db30cd96a1b0b2ac9197ed5cb2b8f08f3df67fe3885fb37b990f4
Agents,,,,Lagos,,,,,,0,,,Agents Agents Pricing Real Estate Agents in Lagos Real Estate Agents in Abuja Real Estate Agents in Rivers All Real Estate Agents,,,,,,,,,https://propertypro.ng/,propertypro.ng,2025-10-19 15:58:20,"6.4550575,3.3941795",3886b611b77622d3edc224768c07b4dc56b304cdb8d6f82ec4680a520d225a92
Real Estate Agents in Lagos,,,,Lagos,,,,,,0,,,Real Estate Agents in Lagos,,,,,,,,,https://propertypro.ng/agents?state=lagos,propertypro.ng,2025-10-19 15:58:20,"6.4550575,3.3941795",9e4208b4f95053ee3fa8b887bda156c85558cdc4d2ad6cf38496278687149d98
Area Guide,,,,Lagos,,,,,,0,,,Area Guide Explore Lagos Explore Abuja Explore Rivers Explore All Area Guides,,,,,,,,,https://propertypro.ng/,propertypro.ng,2025-10-19 15:58:20,"6.4550575,3.3941795",f784c6b8826eaa8d50f3225da987f3cf917efd73a7bb8ee49cf12fa19bb6e891
Explore Lagos,,,,Lagos,,,,,,0,,,Explore Lagos,,,,,,,,,https://propertypro.ng/guide/states/lagos/,propertypro.ng,2025-10-19 15:58:20,"6.4550575,3.3941795",e5de0a3d2fdc8529cbe4ed7343bcd630bda81a02c945b1363efd1c4a415b342a
