title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
"Lagos State 37,838",,,,Lagos,,,,,,0,,,"Lagos State 37,838",,,,,,,,,https://homes.trovit.ng/lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",33e770a9e0966196501190393c0ff99f60737634508449278ab3e9dc2e4729f2
"Lagos State 14,218",,,,Lagos,,,,,,0,,,"Lagos State 14,218",,,,,,,,,https://homes.trovit.ng/for-rent-lagos-state,homes.trovit.ng,2025-08-21 15:16:18,"6.4550575,3.3941795",ca1cf8be8a7869fe0a90e99e3ea943b48dcddb20c604d65823a4ac402fcde846
